Chr	Start	spliceAImax_score
chr10	89599251	0.97
chr10	89768889	0.99
chr10	90742530	0.01
chr10	93074533	0.99
chr10	93328912	0.81
chr10	93635642	0.98
chr10	93687450	0.9
chr10	93698182	0.98
chr10	93701718	0.48
chr10	94981371	0.98
chr10	95068566	0.7
chr10	95406148	0.85
chr10	95502036	0.07
chr10	95653289	0.88
chr10	95911360	0.92
chr10	96012730	0.69
chr10	96019338	0.67
chr10	96024912	0.03
chr10	96348346	0.96
chr10	96386054	0.99
chr10	96397185	0.99
chr10	97243967	0.97
chr10	97244161	1.0
chr10	97480894	0.22
chr10	97498695	0.17
chr10	97679916	0.98
chr10	98156091	0.55
chr10	98156092	0.55
chr10	98186466	0.15
chr10	98186565	0.33
chr10	98251064	1.0
chr10	98262214	0.93
chr10	98392431	0.98
chr10	98407581	0.96
chr10	98410938	0.92
chr10	98422368	0.96
chr10	98425540	0.99
chr10	98429643	0.99
chr10	98620709	0.97
chr10	99360977	0.94
chr10	99792360	1.0
chr10	99811603	0.98
chr10	99818959	0.97
chr10	99842094	0.95
chr10	99913952	0.05
chr10	100256478	0.57
chr10	100329210	0.97
chr10	100487796	0.95
chr10	100506320	0.99
chr10	100509314	0.97
chr10	100749744	0.94
chr10	100923973	0.92
chr10	100981231	0.28
chr10	101037205	0.99
chr10	101807728	0.87
chr10	102159339	0.72
chr10	102161554	0.99
chr10	102466088	0.81
chr10	102854428	1.0
chr10	102869846	0.85
chr10	102874662	0.98
chr10	102890679	0.11
chr10	103105357	0.91
chr10	103392468	0.0
chr10	103416489	1.0
chr10	103917657	0.56
chr10	104033944	0.99
chr10	104036490	0.99
chr10	104058191	0.97
chr10	104064597	0.79
chr10	104132198	1.0
chr10	104143641	0.91
chr10	104146261	0.97
chr10	104188268	0.95
chr10	104259799	1.0
chr10	104275224	0.99
chr10	104333626	0.81
chr10	106688191	0.97
chr10	109871791	0.98
chr10	109894015	0.78
chr10	112154627	0.59
chr10	112182888	0.24
chr10	112411980	0.89
chr10	112425595	0.0
chr10	113089542	0.39
chr10	113589665	0.99
chr10	113631966	0.98
chr10	113640226	1.0
chr10	113657469	0.83
chr10	114179417	0.95
chr10	114285937	0.95
chr10	114297219	0.98
chr10	114325880	0.65
chr10	114571295	0.99
chr10	116455721	0.77
chr10	116466049	0.31
chr10	116559284	1.0
chr10	116594865	0.99
chr10	116596323	0.75
chr10	116705149	0.1
chr10	116856684	0.99
chr10	116876262	0.73
chr10	116879987	0.85
chr10	118033981	0.04
chr10	119105309	0.53
chr10	119158007	0.82
chr10	119430374	0.8
chr10	119933004	0.9
chr10	121530459	0.01
chr10	121531226	0.0
chr10	122336492	1.0
chr10	122375561	0.11
chr10	122565965	0.92
chr10	122572312	0.99
chr10	122577809	0.99
chr10	122580896	1.0
chr10	122584352	0.96
chr10	122584353	0.09
chr10	122586384	0.55
chr10	122590664	0.93
chr10	122592596	0.85
chr10	122597056	0.06
chr10	122597972	0.97
chr10	122619339	0.99
chr10	122845761	0.61
chr10	122952828	0.9
chr10	123034355	1.0
chr10	123051187	1.0
chr10	123768525	0.99
chr10	123842347	0.97
chr10	124403921	0.78
chr10	125133511	0.2
chr10	125815033	0.96
chr10	125852542	1.0
chr10	125997418	0.77
chr10	126521297	0.83
chr10	127127765	1.0
chr10	127418543	0.16
chr10	128082941	0.16
chr10	128116008	0.91
chr10	132197103	0.05
chr10	132344651	0.49
chr10	132365551	0.99
chr10	132814256	0.92
chr10	132885102	0.99
chr10	132885775	
chr10	132885818	0.97
chr10	132938755	0.98
chr10	133186675	0.98
chr10	133206683	0.99
chr10	133268120	0.0
chr10	133271804	0.96
chr10	133299426	0.99
chr10	133310163	0.99
chr10	133389070	1.0
chr10	133424475	0.85
chr10	133558876	0.96
chr10	133560155	0.97
chr11	193155	0.96
chr11	290388	0.99
chr11	292998	0.45
chr11	429820	0.12
chr11	532524	0.59
chr11	537607	0.98
chr11	555113	0.09
chr11	555504	0.67
chr11	556833	0.96
chr11	557641	0.99
chr11	558768	0.95
chr11	563556	0.8
chr11	613783	0.98
chr11	617953	0.99
chr11	624817	0.9
chr11	819572	0.73
chr11	865826	0.07
chr11	986955	0.13
chr11	1025917	0.99
chr11	1031058	0.01
chr11	1254352	0.99
chr11	1836125	0.92
chr11	1836285	0.98
chr11	1837091	0.97
chr11	2316313	0.67
chr11	2407758	0.99
chr11	2412133	0.96
chr11	2414905	0.95
chr11	2989273	0.27
chr11	2991792	0.56
chr11	3361891	0.13
chr11	3362603	0.63
chr11	3669794	0.66
chr11	3775881	0.96
chr11	4086862	0.33
chr11	5225728	0.98
chr11	5226800	0.99
chr11	5226929	0.98
chr11	5509595	0.66
chr11	5680239	0.97
chr11	5697345	0.74
chr11	5698547	0.86
chr11	6205689	0.94
chr11	6239269	1.0
chr11	6401692	0.03
chr11	6520291	0.5
chr11	6548042	0.47
chr11	6566576	0.62
chr11	6568453	0.89
chr11	6617154	0.98
chr11	6943642	0.86
chr11	7042386	0.99
chr11	7057848	0.68
chr11	7057847	0.68
chr11	7548501	0.45
chr11	7593131	1.0
chr11	7635595	0.21
chr11	7653501	0.1
chr11	8126892	0.5
chr11	8138271	0.93
chr11	8476686	0.21
chr11	8533347	0.49
chr11	8870834	0.2
chr11	8911442	0.32
chr11	8911673	0.69
chr11	9025701	0.99
chr11	9065889	0.99
chr11	9438063	
chr11	9438064	
chr11	9438078	
chr11	9479548	0.31
chr11	9790554	0.98
chr11	10478517	0.78
chr11	10525190	0.92
chr11	10799114	0.0
chr11	11870499	0.02
chr11	11998695	0.95
chr11	12008610	0.76
chr11	12116714	0.06
chr11	12249247	0.54
chr11	12675407	0.31
chr11	13378319	0.79
chr11	13417157	1.0
chr11	14488586	0.0
chr11	14498987	0.99
chr11	14499607	0.41
chr11	14519043	0.08
chr11	14818182	0.98
chr11	14885775	0.98
chr11	14885918	0.95
chr11	15112566	0.95
chr11	17315384	0.98
chr11	17404670	0.99
chr11	17495678	0.72
chr11	17505950	0.56
chr11	17523269	0.95
chr11	17527221	0.99
chr11	17597008	0.68
chr11	17635188	0.95
chr11	17641824	0.94
chr11	18239970	0.83
chr11	18239971	0.74
chr11	18245909	0.99
chr11	18246050	0.0
chr11	18269193	0.97
chr11	18396969	0.0
chr11	18475640	0.69
chr11	18701572	0.99
chr11	18720105	0.99
chr11	18729657	0.97
chr11	19147674	1.0
chr11	19165050	0.58
chr11	20036099	0.98
chr11	20045671	0.14
chr11	20055959	0.36
chr11	20062305	0.83
chr11	20493970	0.86
chr11	20599677	0.97
chr11	20607005	0.99
chr11	20638559	0.98
chr11	21229455	0.92
chr11	22250950	0.8
chr11	22820338	0.02
chr11	22827876	0.02
chr11	22859451	0.97
chr11	26443763	0.99
chr11	26563114	0.0
chr11	27093367	0.95
chr11	27119648	0.91
chr11	28021284	0.95
chr11	28023851	0.99
chr11	28110165	0.97
chr11	30331375	0.92
chr11	31430269	0.96
chr11	31800538	0.04
chr11	32430529	0.07
chr11	32702871	0.98
chr11	33032795	0.99
chr11	33731469	0.26
chr11	34118394	1.0
chr11	34456818	1.0
chr11	34642007	0.03
chr11	34916226	0.98
chr11	35222374	0.22
chr11	35322560	0.08
chr11	36376159	0.45
chr11	36594806	0.58
chr11	36594916	0.02
chr11	43882581	0.96
chr11	44071254	0.99
chr11	45915702	0.99
chr11	45926872	0.99
chr11	46320530	0.99
chr11	46518427	0.07
chr11	46518428	0.07
chr11	47157021	0.96
chr11	47175181	0.9
chr11	47248483	0.92
chr11	47248865	0.02
chr11	47289788	0.69
chr11	47323836	0.97
chr11	47338681	0.0
chr11	47350113	0.98
chr11	47413595	1.0
chr11	47569892	0.99
chr11	47578830	0.46
chr11	47579159	0.97
chr11	47587750	0.73
chr11	47705918	0.62
chr11	47767062	0.93
chr11	47786451	0.98
chr11	47848218	0.99
chr11	49158044	0.99
chr11	49174891	0.91
chr11	55265599	0.99
chr11	55265696	0.99
chr11	55885840	0.99
chr11	57332487	1.0
chr11	57338670	0.99
chr11	57350761	0.98
chr11	57381112	0.86
chr11	57389318	0.99
chr11	57390482	0.34
chr11	57409174	0.99
chr11	57426390	0.69
chr11	57647292	0.94
chr11	57741807	0.99
chr11	58610949	1.0
chr11	58844433	0.97
chr11	59144808	0.09
chr11	60095557	0.99
chr11	60172254	0.9
chr11	60292224	0.98
chr11	60301058	1.0
chr11	60405887	0.65
chr11	60461070	0.68
chr11	60501183	0.71
chr11	60503700	1.0
chr11	60733532	0.36
chr11	60733648	0.35
chr11	60737035	0.71
chr11	60873776	0.99
chr11	60939479	1.0
chr11	60942034	0.94
chr11	60950993	1.0
chr11	61115096	0.79
chr11	61339253	0.99
chr11	61343855	0.85
chr11	61345948	0.97
chr11	61357830	0.95
chr11	61398259	0.93
chr11	61486522	0.96
chr11	61773966	0.98
chr11	61964103	0.6
chr11	62130591	0.96
chr11	62243477	0.98
chr11	62298955	0.98
chr11	62422220	0.99
chr11	62616242	
chr11	62616243	
chr11	62621291	0.03
chr11	62665333	0.01
chr11	62665947	0.06
chr11	62669640	0.99
chr11	62728820	0.09
chr11	62733200	0.32
chr11	62791678	0.99
chr11	62801633	0.01
chr11	62837421	0.0
chr11	62876782	0.06
chr11	63081557	0.56
chr11	63143377	0.93
chr11	63164074	0.97
chr11	63164075	0.99
chr11	63217313	0.88
chr11	63228460	0.63
chr11	63228566	0.67
chr11	63297728	0.97
chr11	63508774	0.88
chr11	63558391	0.98
chr11	63718701	0.87
chr11	63939103	0.02
chr11	63939535	0.13
chr11	63952841	0.0
chr11	64224971	0.96
chr11	64237185	0.99
chr11	64237186	0.95
chr11	64341505	0.95
chr11	64368261	0.05
chr11	64592883	0.99
chr11	64599675	0.99
chr11	64740165	0.0
chr11	64767081	0.94
chr11	64792360	0.98
chr11	64810512	0.69
chr11	64835045	1.0
chr11	64835346	1.0
chr11	64934875	0.93
chr11	64935357	0.99
chr11	64990192	0.07
chr11	65124500	0.95
chr11	65172002	0.99
chr11	65182970	0.87
chr11	65266707	0.98
chr11	65377077	0.99
chr11	65399860	0.0
chr11	65535383	0.97
chr11	65551970	0.84
chr11	65591798	0.98
chr11	65591799	0.95
chr11	65593876	0.0
chr11	65619753	0.95
chr11	65636764	0.69
chr11	65640297	0.01
chr11	65850430	0.99
chr11	65850856	0.99
chr11	65860890	1.0
chr11	65865146	0.96
chr11	65883507	0.94
chr11	65966220	0.09
chr11	66000478	0.33
chr11	66020390	0.9
chr11	66045289	0.8
chr11	66265654	1.0
chr11	66340772	0.81
chr11	66504775	0.97
chr11	66551354	0.99
chr11	66554624	0.98
chr11	66558175	0.99
chr11	66560077	0.99
chr11	66564557	0.83
chr11	66565008	1.0
chr11	67043854	1.0
chr11	67429241	1.0
chr11	67443467	0.08
chr11	67458630	0.96
chr11	67465102	0.91
chr11	67611895	0.98
chr11	67645888	0.98
chr11	67666120	0.88
chr11	67674435	0.23
chr11	68049080	0.96
chr11	68180202	0.05
chr11	68357848	0.98
chr11	68414013	0.99
chr11	68583130	0.98
chr11	68710873	0.59
chr11	68761689	1.0
chr11	68812436	0.99
chr11	69085931	0.95
chr11	70405263	0.97
chr11	71435840	0.99
chr11	71917777	0.83
chr11	71919028	0.73
chr11	72008966	1.0
chr11	72080886	0.96
chr11	72089028	0.96
chr11	72096721	0.04
chr11	72112733	0.21
chr11	72195749	0.45
chr11	72372923	0.6
chr11	72434071	0.97
chr11	72816828	0.99
chr11	72825300	0.96
chr11	73270156	0.06
chr11	73390626	0.97
chr11	73395443	0.87
chr11	73661464	0.97
chr11	73876742	0.01
chr11	73877069	0.95
chr11	73887100	0.41
chr11	73959026	0.24
chr11	74034610	0.73
chr11	74093815	0.48
chr11	74634581	0.99
chr11	75267704	0.88
chr11	75428441	0.98
chr11	75563771	0.64
chr11	75569173	0.55
chr11	76007622	1.0
chr11	76661509	0.88
chr11	76661510	0.89
chr11	77130654	0.98
chr11	77156659	0.99
chr11	77177548	0.97
chr11	77243689	0.39
chr11	77268541	0.98
chr11	77287217	0.39
chr11	77397159	0.04
chr11	77473408	0.23
chr11	77832013	0.31
chr11	77841225	0.4
chr11	77900570	0.0
chr11	77901420	1.0
chr11	78121064	0.29
chr11	78124215	0.84
chr11	78574827	0.27
chr11	82884886	0.37
chr11	83273949	0.89
chr11	83273994	0.99
chr11	83285551	0.96
chr11	83286099	0.59
chr11	84021596	0.28
chr11	85628689	0.94
chr11	85631318	0.7
chr11	85631809	0.92
chr11	85631810	0.91
chr11	85635780	0.99
chr11	85708037	0.12
chr11	85709330	0.99
chr11	85895292	0.99
chr11	85990401	0.37
chr11	86807634	0.12
chr11	89373494	0.11
chr11	89717377	0.9
chr11	89717378	0.9
chr11	89807098	0.85
chr11	89871116	0.98
chr11	89873267	1.0
chr11	89875608	0.92
chr11	90032583	0.85
chr11	90158239	0.95
chr11	90181618	1.0
chr11	93154279	0.97
chr11	93370187	0.97
chr11	93696319	0.97
chr11	93702639	0.99
chr11	93706898	1.0
chr11	93725832	0.98
chr11	94045672	0.96
chr11	94129495	0.99
chr11	95836326	0.91
chr11	95850750	1.0
chr11	95850751	1.0
chr11	95857636	0.96
chr11	95862103	1.0
chr11	95887685	0.45
chr11	96093518	0.91
chr11	96383475	0.0
chr11	99325345	1.0
chr11	99325485	0.99
chr11	101948029	0.99
chr11	101997597	0.95
chr11	102336802	1.0
chr11	102594759	0.99
chr11	102702969	1.0
chr11	102713753	1.0
chr11	102716420	0.99
chr11	102716421	0.02
chr11	102778751	1.0
chr11	102795293	1.0
chr11	102797986	0.84
chr11	102842430	0.99
chr11	102952175	1.0
chr11	103121497	1.0
chr11	103165897	1.0
chr11	103179025	0.98
chr11	103303254	1.0
chr11	104890373	1.0
chr11	104955003	0.01
chr11	104998884	0.92
chr11	105100780	0.15
chr11	105138810	0.62
chr11	106010112	0.98
chr11	106021838	0.29
chr11	107390213	0.99
chr11	107551913	0.99
chr11	108271407	0.99
chr11	108335293	0.0
chr11	108406761	0.99
chr11	108537962	0.5
chr11	111743375	0.98
chr11	111876105	0.94
chr11	111923701	0.0
chr11	112073978	0.23
chr11	112200774	0.96
chr11	112255590	0.94
chr11	113352209	0.86
chr11	113395358	0.99
chr11	113416861	1.0
chr11	113801679	1.0
chr11	113812506	0.79
chr11	113817839	0.95
chr11	113827362	0.99
chr11	113829347	0.99
chr11	113830948	1.0
chr11	113840759	0.01
chr11	113874516	0.89
chr11	113874881	0.33
chr11	114063210	0.99
chr11	114559797	0.95
chr11	114679763	0.98
chr11	115240273	1.0
chr11	116784854	0.75
chr11	116791811	0.98
chr11	116830638	0.89
chr11	116830897	1.0
chr11	116846382	0.86
chr11	117208896	0.91
chr11	117362539	1.0
chr11	117381699	0.83
chr11	117409030	0.47
chr11	117410895	0.96
chr11	117482164	0.06
chr11	117820665	0.99
chr11	118086749	0.0
chr11	118094815	0.96
chr11	118115136	0.91
chr11	118196822	0.96
chr11	118235422	0.85
chr11	118304893	0.93
chr11	118349026	0.93
chr11	118957207	0.61
chr11	118958096	0.99
chr11	119021758	1.0
chr11	119025758	0.34
chr11	119027726	0.01
chr11	119113609	0.96
chr11	119113610	0.96
chr11	119121650	0.77
chr11	119128350	0.25
chr11	119128450	0.33
chr11	119168922	0.04
chr11	119185511	0.9
chr11	119187563	0.99
chr11	119190709	0.99
chr11	119278714	1.0
chr11	119315265	0.01
chr11	119343815	0.99
chr11	121129637	0.92
chr11	121187995	0.99
chr11	121488031	1.0
chr11	121570271	0.84
chr11	122783051	1.0
chr11	122851691	0.98
chr11	122864634	1.0
chr11	124141597	0.99
chr11	124264917	0.31
chr11	124617490	0.99
chr11	124637204	0.62
chr11	124638739	0.99
chr11	124691784	0.98
chr11	124749867	0.96
chr11	124869448	
chr11	124878132	0.75
chr11	124891665	0.67
chr11	124923339	0.59
chr11	124954371	0.81
chr11	124977601	0.53
chr11	125086203	0.48
chr11	125110643	0.45
chr11	125111538	0.73
chr11	125332689	0.14
chr11	125593726	0.2
chr11	125746357	0.89
chr11	125746697	0.85
chr11	125789509	0.76
chr11	125837866	0.32
chr11	125891473	0.81
chr11	126021247	1.0
chr11	126205782	0.92
chr11	126277177	0.01
chr11	129951564	0.1
chr11	130238609	0.01
chr11	134220493	0.18
chr11	134249921	1.0
chr11	134261891	1.0
chr11	134277913	0.98
chr11	134310652	0.41
chr11	134367342	0.88
chr11	134382709	0.99
chr12	334239	0.6
chr12	546645	0.97
chr12	1236906	0.04
chr12	1801042	0.68
chr12	1827631	0.0
chr12	1918246	0.97
chr12	1967843	1.0
chr12	2605678	1.0
chr12	2633713	0.86
chr12	2877284	1.0
chr12	2885161	0.03
chr12	3627552	0.99
chr12	3638122	0.81
chr12	3673445	1.0
chr12	4599167	0.99
chr12	4610285	0.91
chr12	4739330	0.99
chr12	4746259	0.84
chr12	4765378	0.99
chr12	4772444	0.92
chr12	5576017	0.98
chr12	5577954	0.96
chr12	5612655	0.99
chr12	5635150	0.99
chr12	5732865	0.31
chr12	5832451	0.98
chr12	5921368	0.99
chr12	5968126	0.92
chr12	6327947	0.43
chr12	6331875	0.01
chr12	6374366	0.96
chr12	6460853	0.98
chr12	6530919	1.0
chr12	6535471	0.61
chr12	6540589	0.97
chr12	6558138	0.09
chr12	6558139	0.09
chr12	6606452	0.99
chr12	6689096	0.94
chr12	6698044	0.95
chr12	6752363	0.99
chr12	6752881	0.05
chr12	6843630	0.93
chr12	6872998	0.81
chr12	6905583	0.98
chr12	6944106	0.06
chr12	6951522	0.56
chr12	6977133	1.0
chr12	7100028	0.91
chr12	7189532	0.66
chr12	7189751	0.7
chr12	7190571	0.21
chr12	7210243	0.7
chr12	7310538	0.89
chr12	7375596	0.99
chr12	7375699	0.89
chr12	7651142	0.9
chr12	7747317	0.99
chr12	7749112	0.78
chr12	7863368	0.37
chr12	8060193	0.53
chr12	8135583	0.74
chr12	8519161	0.93
chr12	8829781	0.89
chr12	8836253	0.8
chr12	8868358	0.62
chr12	8868629	0.98
chr12	9093581	0.01
chr12	9107645	0.97
chr12	9166203	0.92
chr12	9196687	0.97
chr12	9201326	0.98
chr12	9202686	0.01
chr12	9208258	0.99
chr12	9607754	0.99
chr12	9755263	1.0
chr12	9881666	0.98
chr12	9884932	0.41
chr12	9888782	0.69
chr12	9895687	1.0
chr12	9895688	1.0
chr12	9971688	0.99
chr12	10054352	0.7
chr12	10129979	1.0
chr12	10391834	0.43
chr12	10415796	1.0
chr12	10416666	0.99
chr12	10450483	0.96
chr12	10882216	0.99
chr12	11308220	0.78
chr12	11351930	0.97
chr12	11391649	0.88
chr12	11650162	0.01
chr12	11869970	0.01
chr12	12051795	0.39
chr12	12079740	0.93
chr12	12343091	0.98
chr12	12891665	0.33
chr12	12940851	0.73
chr12	12987150	0.96
chr12	14506270	0.0
chr12	14511510	0.97
chr12	14651512	0.99
chr12	14652031	0.96
chr12	14882970	0.77
chr12	14915687	0.95
chr12	14921050	0.99
chr12	14973087	0.97
chr12	15565592	0.97
chr12	15902916	1.0
chr12	16194344	0.94
chr12	16224413	0.67
chr12	16224603	0.96
chr12	16257699	0.76
chr12	16257872	0.76
chr12	16347899	0.21
chr12	16357700	0.99
chr12	18346837	0.98
chr12	18362887	0.98
chr12	18562893	0.77
chr12	18701691	0.05
chr12	18723547	0.34
chr12	19205444	0.19
chr12	20556711	0.13
chr12	20678474	0.45
chr12	20861011	0.9
chr12	20861010	0.9
chr12	20877770	0.57
chr12	21019246	0.76
chr12	21022848	0.98
chr12	21043577	0.47
chr12	21141659	1.0
chr12	21172792	0.54
chr12	21176898	0.84
chr12	21224840	0.99
chr12	21301270	0.99
chr12	21314548	0.78
chr12	21438539	0.01
chr12	21470348	0.0
chr12	21476994	0.87
chr12	21546471	0.97
chr12	21647018	0.01
chr12	21863055	0.77
chr12	22512646	0.17
chr12	25052792	0.01
chr12	25052957	0.97
chr12	25204009	0.96
chr12	25552870	0.6
chr12	25552991	0.19
chr12	26595464	1.0
chr12	26597136	0.87
chr12	26982861	0.07
chr12	27470620	0.51
chr12	27474914	1.0
chr12	27671547	0.99
chr12	27771047	0.98
chr12	27971926	0.18
chr12	28452655	1.0
chr12	29349078	1.0
chr12	29443502	0.84
chr12	29477100	0.91
chr12	29477233	0.88
chr12	29477340	1.0
chr12	29487883	0.02
chr12	29491194	0.99
chr12	29572219	0.99
chr12	30978559	0.98
chr12	31084967	0.99
chr12	31096380	0.99
chr12	31662268	0.49
chr12	31719217	0.42
chr12	31960775	0.96
chr12	32737163	0.0
chr12	32747364	0.0
chr12	32796108	0.96
chr12	32843314	0.35
chr12	39318202	0.98
chr12	39319905	1.0
chr12	40232385	0.98
chr12	40908355	1.0
chr12	41027971	0.1
chr12	42118991	1.0
chr12	42119173	0.05
chr12	42237598	0.99
chr12	42483757	0.76
chr12	43428634	0.79
chr12	43452273	0.98
chr12	43742455	0.69
chr12	43771105	0.86
chr12	44876292	0.78
chr12	46803796	1.0
chr12	47711632	0.97
chr12	47717059	0.99
chr12	47740824	0.99
chr12	47748817	0.97
chr12	47749929	0.54
chr12	47857690	0.99
chr12	47965347	0.89
chr12	48105456	0.75
chr12	48122765	1.0
chr12	48150086	0.64
chr12	48153530	0.91
chr12	48482577	0.89
chr12	48483238	0.55
chr12	48494980	0.82
chr12	48698184	0.94
chr12	48844052	0.99
chr12	48924773	0.7
chr12	48968321	0.94
chr12	49028960	0.8
chr12	49048771	1.0
chr12	49066474	0.94
chr12	49323350	0.97
chr12	49347642	0.45
chr12	49601136	0.88
chr12	49643754	1.0
chr12	49742281	0.27
chr12	49793434	0.99
chr12	49975464	0.99
chr12	50106287	0.99
chr12	50134070	0.13
chr12	50195888	1.0
chr12	50402673	0.13
chr12	51217640	1.0
chr12	51890490	0.36
chr12	52013685	1.0
chr12	52058686	1.0
chr12	52288149	0.05
chr12	52301912	0.83
chr12	52305661	1.0
chr12	52317972	0.99
chr12	52396011	1.0
chr12	52403700	0.98
chr12	52432067	1.0
chr12	52571456	0.99
chr12	52791204	0.14
chr12	52795397	0.99
chr12	52808420	0.97
chr12	52839451	0.93
chr12	53049250	0.93
chr12	53053813	0.89
chr12	53098052	0.98
chr12	53103661	0.96
chr12	53104208	0.02
chr12	53121302	0.99
chr12	53179776	0.45
chr12	53231168	0.99
chr12	53308051	0.97
chr12	53308281	0.97
chr12	53713902	0.99
chr12	53714694	0.99
chr12	54186891	0.49
chr12	54187045	0.1
chr12	54283236	1.0
chr12	54499466	0.98
chr12	54580942	1.0
chr12	54631736	0.94
