MIM Number	Approved Gene Symbol	Phenotypes
603427	PER3	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant
604097	UTS2	
602250	TNFRSF9	Immunodeficiency 109 with lymphoproliferation, 620282 (3), Autosomal recessive
602533	PARK7	Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive
608069	ERRFI1	
605763	SLC45A1	Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive
605226	RERE	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant
172430	ENO1	
114780	CA6	
610371	SLC2A7	
138230	SLC2A5	
620860	GPR157	
611172	MIR34A	
138090	H6PD	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive
611657	SPSB1	
610816	SLC25A33	
602839	PIK3CD	Immunodeficiency 14A, autosomal dominant, 615513 (3), Autosomal dominant; Immunodeficiency 14B, autosomal recessive, 619281 (3), Autosomal recessive; ?Roifman-Chitayat syndrome, digenic, 613328 (3), Digenic recessive
611321	CLSTN1	
607758	CTNNBIP1	
610458	LZIC	
608700	NMNAT1	Spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis, 619260 (3), Autosomal recessive; Leber congenital amaurosis 9, 608553 (3), Autosomal recessive
608604	RBP7	
613565	UBE4B	
605995	KIF1B	{Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation; Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant
172200	PGD	
609130	CENPS	
602784	CORT	
601882	DFFA	
601791	PEX14	Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive
609895	CASZ1	
619700	C1orf127	
605078	TARDBP	Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant; Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant
605102	MASP2	MASP2 deficiency, 613791 (3), Autosomal recessive
182891	SRM	
605960	EXOSC10	
601231	MTOR	Focal cortical dysplasia, type II, somatic, 607341 (3); Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant
618517	ANGPTL7	
611632	UBIAD1	Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant
611251	DISP3	
607112	FBXO2	
609111	FBXO44	
605647	FBXO6	
604094	MAD2L2	?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive
612682	DRAXIN	
608729	AGTRAP	
607093	MTHFR	{Vascular disease, susceptibility to} (3); Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant; {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive
602726	CLCN6	Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities, 619173 (3), Autosomal dominant
108780	NPPA	Atrial standstill 2, 615745 (3), Autosomal recessive; Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant
600295	NPPB	
620362	RNU5E-1	
153454	PLOD1	Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive
608507	MFN2	Lipomatosis, multiple symmetric, with or without peripheral neuropathy, 151800 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant
608772	MIIP	
153243	TNFRSF8	
191191	TNFRSF1B	
608877	VPS13D	Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive
609918		Gallbladder disease 2, 609918 (2)
612830	DHRS3	
615212	LRRC38	
608863	PDPN	
601196	PRDM2	
618301	KAZN	
616450	EFHD2	
601405	CTRC	{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant
609443	CELA2A	Abdominal obesity-metabolic syndrome 4, 618620 (3), Autosomal dominant
609444	CELA2B	
602234	CASP9	
619973	DNAJC16	
617887	AGMAT	
620871	DDI2	
601966	RSC1A1	
609613	PLEKHM2	
610817	SLC25A34	
607747	FBLIM1	
613484	SPEN	Radio-Tartaglia syndrome, 619312 (3), Autosomal dominant
609122		Aneurysm, intracranial berry, 3, 609122 (2), Autosomal dominant
616055		Episodic ataxia, type 8, 616055 (2), Autosomal dominant
601201		
604084	ZBTB17	
619448	SRARP	
610692	HSPB7	
602024	CLCNKA	Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive
602023	CLCNKB	Bartter syndrome, type 3, 607364 (3), Autosomal recessive; Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive
176946	EPHA2	Cataract 6, multiple types, 116600 (3), Autosomal dominant
612496	ARHGEF19	
620487	CPLANE2	
609109	FBXO42	
620682	SZRD1	
611624	NECAP2	
189911	TRG-CCC1-1	
610501	NBPF1	
180680	RNU1-4	
180640	TRE-TTC3-1	
615776	CROCC	
156790	MFAP2	
610513	ATP13A2	Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive; Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive
185470	SDHB	Pheochromocytoma/paraganglioma syndrome 4, 115310 (3), Autosomal dominant; Mitochondrial complex II deficiency, nuclear type 4, 619224 (3), Autosomal recessive; Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Paraganglioma and gastric stromal sarcoma, 606864 (3)
607935	PADI2	
607934	PADI1	
606755	PADI3	Uncombable hair syndrome, 191480 (3), Autosomal recessive
605347	PADI4	
610363	PADI6	Oocyte/zygote/embryo maturation arrest 16, 617234 (3), Autosomal recessive
609587	RCC2	
612494	ARHGEF10L	
167410	PAX7	Congenital myopathy 19, 618578 (3), Autosomal recessive; Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation
606226	TAS1R2	
606811	ALDH4A1	Hyperprolinemia, type II, 239510 (3), Autosomal recessive
609890	UBR4	
616846	EMC1	Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive
620476	MRTO4	
608478	AKR7L	
608477	AKR7A3	
603418	AKR7A2	
614760	SLC66A1	
601572	CAPZB	
616574	MICOS10	
600613	NBL1	
601109	HTR6	
617163	RNF186	
611758	OTUD3	
618320	PLA2G2E	
172411	PLA2G2A	{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation
601192	PLA2G5	[Fleck retina, familial benign], 228980 (3), Autosomal recessive
612957		{Vitamin B6 plasma level QTL 1}, 612957 (2)
612627		Seizures, benign familial infantile, 4, 612627 (2)
605630	PLA2G2D	
616793	PLA2G2F	
616783	UBXN10	
614986	CAMK2N1	
612037	MUL1	
123920	CDA	
608309	PINK1	Parkinson disease 6, early onset, 605909 (3), Autosomal recessive
602202	DDOST	Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive
605037	KIF17	
616072	HP1BP3	
603929	EIF4G3	
600423	ECE1	{Hypertension, essential, susceptibility to}, 145500 (3), Multifactorial; ?Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 (3), Autosomal dominant
612992	NBPF3	
171760	ALPL	Odontohypophosphatasia, 146300 (3), Autosomal dominant, Autosomal recessive; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, adult, 146300 (3), Autosomal dominant, Autosomal recessive
600278	RAP1GAP	
617445	USP48	Deafness, autosomal dominant 85, 620227 (3), Autosomal dominant
142461	HSPG2	Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessive; Schwartz-Jampel syndrome, type 1, 255800 (3), Autosomal recessive
618694	CELA3B	
618693	CELA3A	
116952	CDC42	Takenouchi-Kosaki syndrome, 616737 (3), Autosomal dominant
603490	WNT4	?SERKAL syndrome, 611812 (3), Autosomal recessive; Mullerian aplasia and hyperandrogenism, 158330 (3), Autosomal dominant
612106	ZBTB40	
176945	EPHA8	
120550	C1QA	C1q deficiency 1, 613652 (3), Autosomal recessive
120575	C1QC	C1q deficiency 3, 620322 (3), Autosomal recessive
120570	C1QB	C1q deficiency 2, 620321 (3), Autosomal recessive
600997	EPHB2	?Bleeding disorder, platelet-type, 22, 618462 (3), Autosomal recessive; {Prostate cancer/brain cancer susceptibility, somatic}, 603688 (3)
609132	KDM1A	Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominant
601422	LUZP1	
182133	HTR1D	
607201	HNRNPR	Neurodevelopmental disorder with dysmorphic facies and skeletal and brain abnormalities, 620073 (3), Autosomal dominant
611703	ZNF436	
604128	TCEA3	
616594	ASAP3	
600426	E2F2	
600277	ID3	
607305	MDS2	
604175	RPL11	Diamond-Blackfan anemia 7, 612562 (3), Autosomal dominant
600786	ELOA	
618784	PITHD1	
616143	LYPLA2	
606953	GALE	Thrombocytopenia 13, syndromic, 620776 (3), Autosomal recessive; Galactose epimerase deficiency, 230350 (3), Autosomal recessive
613898	HMGCL	HMG-CoA lyase deficiency, 246450 (3), Autosomal recessive
612280	FUCA1	Fucosidosis, 230000 (3), Autosomal recessive
605051	CNR2	
611882	PNRC2	
605221	SRSF10	
616832	MYOM3	
605457	IL22RA1	
607404	IFNLR1	
608317	GRHL3	van der Woude syndrome 2, 606713 (3), Autosomal dominant
615826	STPG1	
620034	NIPAL3	
605860	RCAN3	
605975	SRRM1	
606536	CLIC4	
600210	RUNX3	
607090	SYF2	
620030	RSRP1	
111680	RHD	{Hemolytic disease of fetus and newborn, RH-induced}, 619462 (3), Isolated cases; [Blood group, RH system], 111690 (3)
605348	TMEM50A	
111700	RHCE	Rh-null disease, amorph type, 617970 (3), Autosomal recessive
610301	MACO1	
605747	LDLRAP1	Hypercholesterolemia, familial, 4, 603813 (3), Autosomal recessive
616772	MAN1C1	
606210	SELENON	Congenital myopathy 3 with rigid spine, 602771 (3), Autosomal recessive
620765	MTFR1L	
620397	AUNIP	
607779	PAQR7	
151442	STMN1	
602344	PAFAH2	
601738	EXTL1	
609617	SLC30A2	Zinc deficiency, transient neonatal, 608118 (3), Autosomal dominant
606131	TRIM63	
610785	PDIK1L	
616698	ZNF593	
603272	CNKSR1	
609121	CATSPER4	
618898	CEP85	
615679	SH3BGRL3	
609151	UBXN11	
114280	CD52	
619765	CRYBG2	
616775	ZNF683	
611043	LIN28A	
608172	DHDDS	Developmental delay and seizures with or without movement abnormalities, 617836 (3), Autosomal dominant; ?Congenital disorder of glycosylation, type 1bb, 613861 (3), Autosomal recessive; Retinitis pigmentosa 59, 613861 (3), Autosomal recessive
163910	HMGN2	
601684	RPS6KA1	
603024	ARID1A	Coffin-Siris syndrome 2, 614607 (3), Autosomal dominant
610274	PIGV	Hyperphosphatasia with impaired intellectual development syndrome 1, 239300 (3), Autosomal recessive
601290	SFN	
617486	GPATCH3	
610325	NUDC	
604630	NR0B2	Obesity, mild, early-onset, 601665 (3), Autosomal dominant, Multifactorial, Autosomal recessive
616758	KDF1	?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type, 617337 (3), Autosomal dominant
616824	TRNP1	
619069	TENT5B	
107310	SLC9A1	Lichtenstein-Knorr syndrome, 616291 (3), Autosomal recessive
619763	WDTC1	
619469	TMEM222	Neurodevelopmental disorder with motor and speech delay and behavioral abnormalities, 619470 (3), Autosomal recessive
608042	SYTL1	
604468	MAP3K6	
604973	FCN3	Immunodeficiency due to ficolin 3 deficiency, 613860 (3), Autosomal recessive
600241	GPR3	
605875	WASF2	
615790	AHDC1	Xia-Gibbs syndrome, 615829 (3), Autosomal dominant
617930		Chromosome 1p35 deletion syndrome, 617930 (4), Autosomal dominant
132850	EBVS1	
164940	FGR	
147572	IFI6	
606892	STX12	
602636	PPP1R8	
620811	SCARNA1	
617856	THEMIS2	
179836	RPA2	
617737	SMPDL3B	
619940	XKR8	
601655	EYA3	
173393	PTAFR	
614981	ATP5IF1	
607767	SESN2	
612384	MED18	
608726	PHACTR4	
603238	SNHG3	
179710	RCC1	
180645	SNORA73A	
603239	SNORA73B	
619597	TRNAU1AP	
600773	TAF12	
604409	GMEB1	
610640	YTHDF2	
165195	OPRD1	
130500	EPB41	Elliptocytosis-1, 611804 (3), Autosomal dominant, Autosomal recessive
601940	SRSF4	
608205	MECR	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive; Optic atrophy 16, 620629 (3), Autosomal recessive
602454	PTPRU	
115437	MATN1	
601476	LAPTM5	
186357	SDC3	{Obesity, association with}, 601665 (3), Autosomal dominant, Multifactorial, Autosomal recessive
607204	PUM1	Spinocerebellar ataxia 47, 617931 (3), Autosomal dominant; Neurodevelopmental disorder with motor abnormalities, seizures, and facial dysmorphism, 620719 (3), Autosomal dominant
612871	NKAIN1	
607797	SNRNP40	
619744	ZCCHC17	
134651	FABP3	
614549	SERINC2	
616064	TINAGL1	
602392	HCRTR1	
610033	PEF1	
120326	COL16A1	
602683	ADGRB2	
619038	SPOCD1	
601584	PTP4A2	
602489	KHDRBS1	
610563	KPNA6	
608676	TXLNA	
610162	CCDC28B	{Bardet-Biedl syndrome 1, modifier of}, 209900 (3), Autosomal recessive, Digenic recessive
620289	TMEM234	
603911	EIF3I	
153390	LCK	Immunodeficiency 22, 615758 (3), Autosomal recessive
601241	HDAC1	
602940	MARCKSL1	
607660	TSSK3	
617518	BSDC1	
618742	ZBTB8A	
615891	ZBTB8OS	
602923	RBBP4	
611750	SYNC	
603623	YARS1	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2, 619418 (3), Autosomal recessive; Charcot-Marie-Tooth disease, dominant intermediate C, 608323 (3), Autosomal dominant
611889	S100PBP	
611906	FNDC5	
142622	HPCA	Dystonia 2, torsion, autosomal recessive, 224500 (3), Autosomal recessive
610872	RNF19B	
103020	AK2	Reticular dysgenesis, 267500 (3), Autosomal recessive
608353	AZIN2	
616755	TRIM62	
619850	A3GALT2	
602979	PHC2	
611315	ZSCAN20	
608398	CSMD2	
617285	HMGB4	
609919		Gallbladder disease 3, 609919 (2)
613545		Macrostomia, 613545 (2)
604493	GJB5	
605425	GJB4	Erythrokeratodermia variabilis et progressiva 2, 617524 (3), Autosomal dominant
603324	GJB3	Deafness, digenic, GJB2/GJB3, 220290 (3), Digenic dominant, Autosomal recessive; Erythrokeratodermia variabilis et progressiva 1, 133200 (3), Autosomal dominant, Autosomal recessive; Deafness, autosomal dominant 2B, with or without peripheral neuropathy, 612644 (3), Autosomal dominant
121012	GJA4	
611413	DLGAP3	
613567	ZMYM6	
605199	SFPQ	
613568	ZMYM4	
613535	KIAA0319L	
608458	NCDN	Neurodevelopmental disorder with infantile epileptic spasms, 619373 (3), Autosomal dominant
614428	TFAP2E	
602175	PSMB2	
605434	CLSPN	
607356	AGO4	
606228	AGO1	Neurodevelopmental disorder with language delay and behavioral abnormalities, with or without seizures, 620292 (3), Autosomal dominant
607355	AGO3	
608953	TEKT2	
610624	ADPRS	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3), Autosomal recessive
120252	COL8A2	Corneal dystrophy, posterior polymorphous 2, 609140 (3), Autosomal dominant; Corneal dystrophy, Fuchs endothelial, 1, 136800 (3), Autosomal dominant
610955	TRAPPC3	
603809	THRAP3	
609437	STK40	
617909	LSM10	
608854	OSCP1	
611979	MRPS15	
138971	CSF3R	Neutropenia, severe congenital, 7, autosomal recessive, 617014 (3), Autosomal recessive; ?Neutrophilia, hereditary, 162830 (3), Autosomal dominant
138243	GRIK3	
610562	ZC3H12A	
611001	MEAF6	
608241	SNIP1	Neurodevelopmental disorder with hypotonia, craniofacial abnormalities, and seizures, 614501 (3), Autosomal recessive
602135	DNALI1	?Spermatogenic failure 83, 620354 (3), Autosomal recessive
609365	GNL2	
609595	RSPO1	Palmoplantar hyperkeratosis and true hermaphroditism, 610644 (3), Autosomal recessive; Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal, 610644 (3), Autosomal recessive
614799	AIRIM	
609977	CDCA8	
611123	EPHA10	?Deafness, autosomal dominant 88, 620283 (3), Autosomal dominant
612276	YRDC	Galloway-Mowat syndrome 10, 619609 (3), Autosomal recessive
600172	MTF1	
147264	INPP5B	
605596	SF3A3	
602790	FHL3	
609440	UTP11	
602479	POU3F1	
608267	RRAGC	Long-Olsen-Distelmaier syndrome, 620609 (3), Autosomal dominant
606535	MYCBP	
611923	GJA9	
608962	RHBDL2	
615164	AKIRIN1	
603847	NDUFS5	
608271	MACF1	Lissencephaly 9 with complex brainstem malformation, 618325 (3), Autosomal dominant
620847	BMP8A	
603407	PABPC4	
609034	HEYL	
610525	NT5C1A	
619211	HPCAL4	
602435	PPIE	
602284	BMP8B	
610289	OXCT2	
617840	TRIT1	Combined oxidative phosphorylation deficiency 35, 617873 (3), Autosomal recessive
164850	MYCL	
614397	MFSD2A	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain abnormalities, 616486 (3), Autosomal recessive
617801	CAP1	
600722	PPT1	Ceroid lipofuscinosis, neuronal, 1, 256730 (3), Autosomal recessive
180610	RLF	
606480	ZMPSTE24	Mandibuloacral dysplasia with type B lipodystrophy, 608612 (3), Autosomal recessive; Restrictive dermopathy 1, 275210 (3), Autosomal recessive
120260	COL9A2	Epiphyseal dysplasia, multiple, 2, 600204 (3), Autosomal dominant; ?Stickler syndrome, type V, 614284 (3), Autosomal recessive
616916	SMAP2	
617939	ZFP69	
618601	EXO5	
611600	RIMS3	
605344	NFYC	
619105	MIR30E	
615151	MIR30C1	
603537	KCNQ4	Deafness, autosomal dominant 2A, 600101 (3), Autosomal dominant
606815	CITED4	
123860	CTPS1	Immunodeficiency 24, 615897 (3), Autosomal recessive
616396	SCMH1	
611457	FOXO6	
131241	EDN2	
606649	HIVEP3	
601271	GUCA2B	
139392	GUCA2A	
616035	FOXJ3	
618949	RIMKLA	
609853	PPCS	Cardiomyopathy, dilated, 2C, 618189 (3), Autosomal recessive
606095	PPIH	
154030	YBX1	
610036	CLDN19	Hypomagnesemia 5, renal, with ocular involvement, 248190 (3), Autosomal recessive
610339	P3H1	Osteogenesis imperfecta, type VIII, 610915 (3), Autosomal recessive
617853	SVBP	Neurodevelopmental disorder with ataxia, hypotonia, and microcephaly, 618569 (3), Autosomal recessive
609017	ERMAP	[Blood group, Scianna system], 111750 (3); [Blood group, Radin], 111620 (3)
138140	SLC2A1	Dystonia 9, 601042 (3), Autosomal dominant; GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3), Autosomal dominant, Autosomal recessive; Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3), Autosomal dominant; GLUT1 deficiency syndrome 2, childhood onset, 612126 (3), Autosomal dominant
614443	EBNA1BP2	
614259	CFAP57	
620582	C1orf210	
600222	TIE1	Lymphatic malformation 11, 619401 (3), Autosomal dominant
159530	MPL	Myelofibrosis with myeloid metaplasia, somatic, 254450 (3); Amegakaryocytic thrombocytopenia, congenital, 1, 604498 (3), Autosomal recessive; Thrombocythemia 2, 601977 (3), Autosomal dominant, Somatic mutation
603618	CDC20	Oocyte/zygote/embryo maturation arrest 14, 620276 (3), Autosomal recessive
611813	ELOVL1	Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies, 618527 (3), Autosomal dominant, Autosomal recessive
607956	MED8	
615463	SZT2	Developmental and epileptic encephalopathy 18, 615476 (3), Autosomal recessive
619128	HYI	
179590	PTPRF	?Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001 (3), Autosomal recessive
609764	KDM4A	
178300		Ptosis, hereditary congenital, 1, 178300 (2), Autosomal dominant
606494	ST3GAL3	Developmental and epileptic encephalopathy 15, 615006 (3), Autosomal recessive; Intellectual developmental disorder, autosomal recessive 12, 611090 (3), Autosomal recessive
603886	ARTN	
610411	IPO13	
603456	DPH2	Developmental delay with short stature, dysmorphic facial features, and sparse hair 2, 620062 (3), Autosomal recessive
603717	ATP6V0B	
604013	B4GALT2	
601019	SLC6A9	Glycine encephalopathy with normal serum glycine, 617301 (3), Autosomal recessive
609602	KLF17	
605077	DMAP1	
609917	ERI3	
616136	RNF220	Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy, 619688 (3), Autosomal recessive
619722	TMEM53	Craniotubular dysplasia, Ikegawa type, 619727 (3), Autosomal recessive
620363	RNU5F-1	
620361	RNU5D-1	
604538	KIF2C	
600357	RPS8	
607336	BEST4	
602913	PLK3	
611713	DYNLT4	
603673	PTCH2	Medulloblastoma, somatic, 155255 (3); Basal cell carcinoma, somatic, 605462 (3)
606273	EIF2B3	Leukoencephalopathy with vanishing white matter 3, with or without ovarian failure, 620313 (3), Autosomal recessive
618638	HECTD3	
613521	UROD	Porphyria, hepatoerythropoietic, 176100 (3), Autosomal dominant, Autosomal recessive; Porphyria cutanea tarda, 176100 (3), Autosomal dominant, Autosomal recessive
620132	ZSWIM5	
618994	HPDL	Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities, 619026 (3), Autosomal recessive; Spastic paraplegia 83, autosomal recessive, 619027 (3), Autosomal recessive
604933	MUTYH	Adenomas, multiple colorectal, 608456 (3), Autosomal recessive; Gastric cancer, somatic, 613659 (3)
613931	TOE1	Pontocerebellar hypoplasia, type 7, 614969 (3), Autosomal recessive
604746	TESK2	
609831	MMACHC	Methylmalonic aciduria and homocystinuria, cblC type, 277400 (3), Autosomal recessive
176763	PRDX1	Methylmalonic aciduria and homocystinuria, cblC type, digenic, 277400 (3), Autosomal recessive
103830	AKR1A1	
603185	NASP	
147485	IPP	
612257	MAST2	
606076	PIK3R3	
613170	TSPAN1	
