MIM Number,Approved Gene Symbol,Phenotypes,inheritance,recessive,dominant
608507,MFN2,"Lipomatosis, multiple symmetric, with or without peripheral neuropathy, 151800 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
608877,VPS13D,"Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive",Autosomal recessive,1,0
601405,CTRC,"{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant",Autosomal dominant,0,1
609443,CELA2A,"Abdominal obesity-metabolic syndrome 4, 618620 (3), Autosomal dominant",Autosomal dominant,0,1
613484,SPEN,"Radio-Tartaglia syndrome, 619312 (3), Autosomal dominant",Autosomal dominant,0,1
602023,CLCNKB,"Bartter syndrome, type 3, 607364 (3), Autosomal recessive; Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive",Autosomal recessive,1,0
176946,EPHA2,"Cataract 6, multiple types, 116600 (3), Autosomal dominant",Autosomal dominant,0,1
610513,ATP13A2,"Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive; Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive",Autosomal recessive,1,0
185470,SDHB,"Pheochromocytoma/paraganglioma syndrome 4, 115310 (3), Autosomal dominant; Mitochondrial complex II deficiency, nuclear type 4, 619224 (3), Autosomal recessive; Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Paraganglioma and gastric stromal sarcoma, 606864 (3)","Autosomal recessive, Autosomal dominant",1,1
606755,PADI3,"Uncombable hair syndrome, 191480 (3), Autosomal recessive",Autosomal recessive,1,0
610363,PADI6,"Oocyte/zygote/embryo maturation arrest 16, 617234 (3), Autosomal recessive",Autosomal recessive,1,0
167410,PAX7,"Congenital myopathy 19, 618578 (3), Autosomal recessive; Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation",Autosomal recessive,1,0
606811,ALDH4A1,"Hyperprolinemia, type II, 239510 (3), Autosomal recessive",Autosomal recessive,1,0
616846,EMC1,"Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive",Autosomal recessive,1,0
172411,PLA2G2A,"{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation",Autosomal dominant,0,1
601192,PLA2G5,"[Fleck retina, familial benign], 228980 (3), Autosomal recessive",Autosomal recessive,1,0
608309,PINK1,"Parkinson disease 6, early onset, 605909 (3), Autosomal recessive",Autosomal recessive,1,0
602202,DDOST,"Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive",Autosomal recessive,1,0
600423,ECE1,"{Hypertension, essential, susceptibility to}, 145500 (3), Multifactorial; ?Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 (3), Autosomal dominant",Autosomal dominant,0,1
171760,ALPL,"Odontohypophosphatasia, 146300 (3), Autosomal dominant, Autosomal recessive; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, adult, 146300 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
617445,USP48,"Deafness, autosomal dominant 85, 620227 (3), Autosomal dominant",Autosomal dominant,0,1
142461,HSPG2,"Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessive; Schwartz-Jampel syndrome, type 1, 255800 (3), Autosomal recessive",Autosomal recessive,1,0
116952,CDC42,"Takenouchi-Kosaki syndrome, 616737 (3), Autosomal dominant",Autosomal dominant,0,1
603490,WNT4,"?SERKAL syndrome, 611812 (3), Autosomal recessive; Mullerian aplasia and hyperandrogenism, 158330 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
120550,C1QA,"C1q deficiency 1, 613652 (3), Autosomal recessive",Autosomal recessive,1,0
120575,C1QC,"C1q deficiency 3, 620322 (3), Autosomal recessive",Autosomal recessive,1,0
120570,C1QB,"C1q deficiency 2, 620321 (3), Autosomal recessive",Autosomal recessive,1,0
600997,EPHB2,"?Bleeding disorder, platelet-type, 22, 618462 (3), Autosomal recessive; {Prostate cancer/brain cancer susceptibility, somatic}, 603688 (3)",Autosomal recessive,1,0
609132,KDM1A,"Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominant",Autosomal dominant,0,1
607201,HNRNPR,"Neurodevelopmental disorder with dysmorphic facies and skeletal and brain abnormalities, 620073 (3), Autosomal dominant",Autosomal dominant,0,1
604175,RPL11,"Diamond-Blackfan anemia 7, 612562 (3), Autosomal dominant",Autosomal dominant,0,1
606953,GALE,"Thrombocytopenia 13, syndromic, 620776 (3), Autosomal recessive; Galactose epimerase deficiency, 230350 (3), Autosomal recessive",Autosomal recessive,1,0
613898,HMGCL,"HMG-CoA lyase deficiency, 246450 (3), Autosomal recessive",Autosomal recessive,1,0
612280,FUCA1,"Fucosidosis, 230000 (3), Autosomal recessive",Autosomal recessive,1,0
608317,GRHL3,"van der Woude syndrome 2, 606713 (3), Autosomal dominant",Autosomal dominant,0,1
111700,RHCE,"Rh-null disease, amorph type, 617970 (3), Autosomal recessive",Autosomal recessive,1,0
605747,LDLRAP1,"Hypercholesterolemia, familial, 4, 603813 (3), Autosomal recessive",Autosomal recessive,1,0
606210,SELENON,"Congenital myopathy 3 with rigid spine, 602771 (3), Autosomal recessive",Autosomal recessive,1,0
609617,SLC30A2,"Zinc deficiency, transient neonatal, 608118 (3), Autosomal dominant",Autosomal dominant,0,1
608172,DHDDS,"Developmental delay and seizures with or without movement abnormalities, 617836 (3), Autosomal dominant; ?Congenital disorder of glycosylation, type 1bb, 613861 (3), Autosomal recessive; Retinitis pigmentosa 59, 613861 (3), Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
603024,ARID1A,"Coffin-Siris syndrome 2, 614607 (3), Autosomal dominant",Autosomal dominant,0,1
610274,PIGV,"Hyperphosphatasia with impaired intellectual development syndrome 1, 239300 (3), Autosomal recessive",Autosomal recessive,1,0
604630,NR0B2,"Obesity, mild, early-onset, 601665 (3), Autosomal dominant, Multifactorial, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
616758,KDF1,"?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type, 617337 (3), Autosomal dominant",Autosomal dominant,0,1
107310,SLC9A1,"Lichtenstein-Knorr syndrome, 616291 (3), Autosomal recessive",Autosomal recessive,1,0
619469,TMEM222,"Neurodevelopmental disorder with motor and speech delay and behavioral abnormalities, 619470 (3), Autosomal recessive",Autosomal recessive,1,0
604973,FCN3,"Immunodeficiency due to ficolin 3 deficiency, 613860 (3), Autosomal recessive",Autosomal recessive,1,0
615790,AHDC1,"Xia-Gibbs syndrome, 615829 (3), Autosomal dominant",Autosomal dominant,0,1
130500,EPB41,"Elliptocytosis-1, 611804 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
608205,MECR,"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive; Optic atrophy 16, 620629 (3), Autosomal recessive",Autosomal recessive,1,0
186357,SDC3,"{Obesity, association with}, 601665 (3), Autosomal dominant, Multifactorial, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
607204,PUM1,"Spinocerebellar ataxia 47, 617931 (3), Autosomal dominant; Neurodevelopmental disorder with motor abnormalities, seizures, and facial dysmorphism, 620719 (3), Autosomal dominant",Autosomal dominant,0,1
610162,CCDC28B,"{Bardet-Biedl syndrome 1, modifier of}, 209900 (3), Autosomal recessive, Digenic recessive",Autosomal recessive,1,0
153390,LCK,"Immunodeficiency 22, 615758 (3), Autosomal recessive",Autosomal recessive,1,0
603623,YARS1,"Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2, 619418 (3), Autosomal recessive; Charcot-Marie-Tooth disease, dominant intermediate C, 608323 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
142622,HPCA,"Dystonia 2, torsion, autosomal recessive, 224500 (3), Autosomal recessive",Autosomal recessive,1,0
103020,AK2,"Reticular dysgenesis, 267500 (3), Autosomal recessive",Autosomal recessive,1,0
605425,GJB4,"Erythrokeratodermia variabilis et progressiva 2, 617524 (3), Autosomal dominant",Autosomal dominant,0,1
603324,GJB3,"Deafness, digenic, GJB2/GJB3, 220290 (3), Digenic dominant, Autosomal recessive; Erythrokeratodermia variabilis et progressiva 1, 133200 (3), Autosomal dominant, Autosomal recessive; Deafness, autosomal dominant 2B, with or without peripheral neuropathy, 612644 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
608458,NCDN,"Neurodevelopmental disorder with infantile epileptic spasms, 619373 (3), Autosomal dominant",Autosomal dominant,0,1
606228,AGO1,"Neurodevelopmental disorder with language delay and behavioral abnormalities, with or without seizures, 620292 (3), Autosomal dominant",Autosomal dominant,0,1
610624,ADPRS,"Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3), Autosomal recessive",Autosomal recessive,1,0
120252,COL8A2,"Corneal dystrophy, posterior polymorphous 2, 609140 (3), Autosomal dominant; Corneal dystrophy, Fuchs endothelial, 1, 136800 (3), Autosomal dominant",Autosomal dominant,0,1
138971,CSF3R,"Neutropenia, severe congenital, 7, autosomal recessive, 617014 (3), Autosomal recessive; ?Neutrophilia, hereditary, 162830 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
608241,SNIP1,"Neurodevelopmental disorder with hypotonia, craniofacial abnormalities, and seizures, 614501 (3), Autosomal recessive",Autosomal recessive,1,0
602135,DNALI1,"?Spermatogenic failure 83, 620354 (3), Autosomal recessive",Autosomal recessive,1,0
609595,RSPO1,"Palmoplantar hyperkeratosis and true hermaphroditism, 610644 (3), Autosomal recessive; Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal, 610644 (3), Autosomal recessive",Autosomal recessive,1,0
611123,EPHA10,"?Deafness, autosomal dominant 88, 620283 (3), Autosomal dominant",Autosomal dominant,0,1
612276,YRDC,"Galloway-Mowat syndrome 10, 619609 (3), Autosomal recessive",Autosomal recessive,1,0
608267,RRAGC,"Long-Olsen-Distelmaier syndrome, 620609 (3), Autosomal dominant",Autosomal dominant,0,1
608271,MACF1,"Lissencephaly 9 with complex brainstem malformation, 618325 (3), Autosomal dominant",Autosomal dominant,0,1
617840,TRIT1,"Combined oxidative phosphorylation deficiency 35, 617873 (3), Autosomal recessive",Autosomal recessive,1,0
614397,MFSD2A,"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain abnormalities, 616486 (3), Autosomal recessive",Autosomal recessive,1,0
600722,PPT1,"Ceroid lipofuscinosis, neuronal, 1, 256730 (3), Autosomal recessive",Autosomal recessive,1,0
606480,ZMPSTE24,"Mandibuloacral dysplasia with type B lipodystrophy, 608612 (3), Autosomal recessive; Restrictive dermopathy 1, 275210 (3), Autosomal recessive",Autosomal recessive,1,0
120260,COL9A2,"Epiphyseal dysplasia, multiple, 2, 600204 (3), Autosomal dominant; ?Stickler syndrome, type V, 614284 (3), Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
603537,KCNQ4,"Deafness, autosomal dominant 2A, 600101 (3), Autosomal dominant",Autosomal dominant,0,1
123860,CTPS1,"Immunodeficiency 24, 615897 (3), Autosomal recessive",Autosomal recessive,1,0
609853,PPCS,"Cardiomyopathy, dilated, 2C, 618189 (3), Autosomal recessive",Autosomal recessive,1,0
610036,CLDN19,"Hypomagnesemia 5, renal, with ocular involvement, 248190 (3), Autosomal recessive",Autosomal recessive,1,0
610339,P3H1,"Osteogenesis imperfecta, type VIII, 610915 (3), Autosomal recessive",Autosomal recessive,1,0
617853,SVBP,"Neurodevelopmental disorder with ataxia, hypotonia, and microcephaly, 618569 (3), Autosomal recessive",Autosomal recessive,1,0
138140,SLC2A1,"Dystonia 9, 601042 (3), Autosomal dominant; GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3), Autosomal dominant, Autosomal recessive; Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3), Autosomal dominant; GLUT1 deficiency syndrome 2, childhood onset, 612126 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
600222,TIE1,"Lymphatic malformation 11, 619401 (3), Autosomal dominant",Autosomal dominant,0,1
159530,MPL,"Myelofibrosis with myeloid metaplasia, somatic, 254450 (3); Amegakaryocytic thrombocytopenia, congenital, 1, 604498 (3), Autosomal recessive; Thrombocythemia 2, 601977 (3), Autosomal dominant, Somatic mutation","Autosomal recessive, Autosomal dominant",1,1
603618,CDC20,"Oocyte/zygote/embryo maturation arrest 14, 620276 (3), Autosomal recessive",Autosomal recessive,1,0
611813,ELOVL1,"Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies, 618527 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
615463,SZT2,"Developmental and epileptic encephalopathy 18, 615476 (3), Autosomal recessive",Autosomal recessive,1,0
179590,PTPRF,"?Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001 (3), Autosomal recessive",Autosomal recessive,1,0
606494,ST3GAL3,"Developmental and epileptic encephalopathy 15, 615006 (3), Autosomal recessive; Intellectual developmental disorder, autosomal recessive 12, 611090 (3), Autosomal recessive",Autosomal recessive,1,0
603456,DPH2,"Developmental delay with short stature, dysmorphic facial features, and sparse hair 2, 620062 (3), Autosomal recessive",Autosomal recessive,1,0
601019,SLC6A9,"Glycine encephalopathy with normal serum glycine, 617301 (3), Autosomal recessive",Autosomal recessive,1,0
616136,RNF220,"Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy, 619688 (3), Autosomal recessive",Autosomal recessive,1,0
619722,TMEM53,"Craniotubular dysplasia, Ikegawa type, 619727 (3), Autosomal recessive",Autosomal recessive,1,0
606273,EIF2B3,"Leukoencephalopathy with vanishing white matter 3, with or without ovarian failure, 620313 (3), Autosomal recessive",Autosomal recessive,1,0
613521,UROD,"Porphyria, hepatoerythropoietic, 176100 (3), Autosomal dominant, Autosomal recessive; Porphyria cutanea tarda, 176100 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
618994,HPDL,"Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities, 619026 (3), Autosomal recessive; Spastic paraplegia 83, autosomal recessive, 619027 (3), Autosomal recessive",Autosomal recessive,1,0
604933,MUTYH,"Adenomas, multiple colorectal, 608456 (3), Autosomal recessive; Gastric cancer, somatic, 613659 (3)",Autosomal recessive,1,0
613931,TOE1,"Pontocerebellar hypoplasia, type 7, 614969 (3), Autosomal recessive",Autosomal recessive,1,0
609831,MMACHC,"Methylmalonic aciduria and homocystinuria, cblC type, 277400 (3), Autosomal recessive",Autosomal recessive,1,0
176763,PRDX1,"Methylmalonic aciduria and homocystinuria, cblC type, digenic, 277400 (3), Autosomal recessive",Autosomal recessive,1,0
606822,POMGNT1,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3, 613157 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 3, 613151 (3), Autosomal recessive; Retinitis pigmentosa 76, 617123 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, 253280 (3), Autosomal recessive",Autosomal recessive,1,0
603615,RAD54L,"{Breast cancer, invasive ductal}, 114480 (3), Autosomal dominant, Somatic mutation; Adenocarcinoma, colonic, somatic (3); Lymphoma, non-Hodgkin, somatic, 605027 (3)",Autosomal dominant,0,1
613844,UQCRH,"?Mitochondrial complex III deficiency, nuclear type 11, 620137 (3), Autosomal recessive",Autosomal recessive,1,0
181590,STIL,"Microcephaly 7, primary, autosomal recessive, 612703 (3), Autosomal recessive",Autosomal recessive,1,0
601094,FOXE3,"Anterior segment dysgenesis 2, multiple subtypes, 610256 (3), Autosomal recessive; {Aortic aneurysm, familial thoracic 11, susceptibility to}, 617349 (3), Autosomal dominant; Cataract 34, multiple types, 612968 (3)","Autosomal recessive, Autosomal dominant",1,1
601902,ORC1,"Meier-Gorlin syndrome 1, 224690 (3), Autosomal recessive",Autosomal recessive,1,0
615623,COA7,"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3, 618387 (3), Autosomal recessive",Autosomal recessive,1,0
184755,SCP2,"?Leukoencephalopathy with dystonia and motor neuropathy, 613724 (3), Autosomal recessive",Autosomal recessive,1,0
600650,CPT2,"{Encephalopathy, acute, infection-induced, 4, susceptibility to}, 614212 (3), Autosomal dominant, Autosomal recessive; CPT II deficiency, infantile, 600649 (3), Autosomal recessive; CPT II deficiency, lethal neonatal, 608836 (3), Autosomal recessive; CPT II deficiency, myopathic, stress-induced, 255110 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
147892,DIO1,"Thyroid hormone metabolism, abnormal, 2, 619855 (3), Autosomal dominant",Autosomal dominant,0,1
612036,PARS2,"Developmental and epileptic encephalopathy 75, 618437 (3), Autosomal recessive",Autosomal recessive,1,0
606418,DHCR24,"Desmosterolosis, 602398 (3), Autosomal recessive",Autosomal recessive,1,0
606412,BSND,"Sensorineural deafness with mild renal dysfunction, 602522 (3), Autosomal recessive; Bartter syndrome, type 4a, 602522 (3), Autosomal recessive",Autosomal recessive,1,0
607786,PCSK9,"{Low density lipoprotein cholesterol level QTL 1}, 603776 (3), Autosomal dominant; Hypercholesterolemia, familial, 3, 603776 (3), Autosomal dominant",Autosomal dominant,0,1
120950,C8A,"C8 deficiency, type I, 613790 (3), Autosomal recessive",Autosomal recessive,1,0
120960,C8B,"C8 deficiency, type II, 613789 (3), Autosomal recessive",Autosomal recessive,1,0
603448,DAB1,"Spinocerebellar ataxia 37, 615945 (3), Autosomal dominant",Autosomal dominant,0,1
137290,TACSTD2,"Corneal dystrophy, gelatinous drop-like, 204870 (3), Autosomal recessive",Autosomal recessive,1,0
612176,MYSM1,"Bone marrow failure syndrome 4, 618116 (3), Autosomal recessive",Autosomal recessive,1,0
600727,NFIA,"Brain malformations with or without urinary tract defects, 613735 (3), Autosomal dominant",Autosomal dominant,0,1
615730,DOCK7,"Developmental and epileptic encephalopathy 23, 615859 (3), Autosomal recessive",Autosomal recessive,1,0
604774,ANGPTL3,"Hypobetalipoproteinemia, familial, 2, 605019 (3), Autosomal recessive",Autosomal recessive,1,0
611539,FOXD3,"{Autoimmune disease, susceptibility to, 1}, 607836 (3), Autosomal dominant",Autosomal dominant,0,1
604566,ALG6,"Congenital disorder of glycosylation, type Ic, 603147 (3), Autosomal recessive",Autosomal recessive,1,0
171900,PGM1,"Congenital disorder of glycosylation, type It, 614921 (3), Autosomal recessive",Autosomal recessive,1,0
602336,ROR1,"?Deafness, autosomal recessive 108, 617654 (3), Autosomal recessive",Autosomal recessive,1,0
147795,JAK1,"Autoinflammation, immune dysregulation, and eosinophilia, 618999 (3), Autosomal dominant",Autosomal dominant,0,1
608375,DNAJC6,"Parkinson disease 19a, juvenile-onset, 615528 (3), Autosomal recessive; Parkinson disease 19b, early-onset, 615528 (3), Autosomal recessive",Autosomal recessive,1,0
601007,LEPR,"Obesity, morbid, due to leptin receptor deficiency, 614963 (3), Autosomal recessive",Autosomal recessive,1,0
610804,SLC35D1,"Schneckenbecken dysplasia, 269250 (3), Autosomal recessive",Autosomal recessive,1,0
611514,WLS,"Zaki syndrome, 619648 (3), Autosomal recessive",Autosomal recessive,1,0
180069,RPE65,"Retinitis pigmentosa 20, 613794 (3), Autosomal recessive; Retinitis pigmentosa 87 with choroidal involvement, 618697 (3), Autosomal dominant; Leber congenital amaurosis 2, 204100 (3), Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
607657,CTH,"Cystathioninuria, 219500 (3), Autosomal recessive",Autosomal recessive,1,0
613932,TNNI3K,"Cardiac conduction disease with or without dilated cardiomyopathy, 616117 (3), Autosomal dominant",Autosomal dominant,0,1
607008,ACADM,"Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3), Autosomal recessive",Autosomal recessive,1,0
602105,MSH4,"Premature ovarian failure 20, 619938 (3), Autosomal recessive; Spermatogenic failure 2, 108420 (3), Autosomal recessive",Autosomal recessive,1,0
605087,PIGK,"Neurodevelopmental disorder with hypotonia and cerebellar atrophy, with or without seizures, 618879 (3), Autosomal recessive",Autosomal recessive,1,0
613121,NEXN,"Cardiomyopathy, dilated, 1CC, 613122 (3), Autosomal dominant; Cardiomyopathy, hypertrophic, 20, 613876 (3), Autosomal dominant",Autosomal dominant,0,1
