gene_name,fracCdsCons,fracConsPr
CDKL5,0.693028096,0.884842178
CAMK1G,0.684835779,0.711390636
CDK11A,0.55783184,0.425522834
NADK,0.665175242,0.612229679
TFAP2B,0.85538684,0.999276934
TFAP2D,0.824871229,0.97718911
DLEC1,0.453113136,0.390091116
CYTH3,0.7575,0.874166667
ADAM22,0.718853363,0.908489526
SYPL1,0.612947658,0.626721763
CYB561,0.674603175,0.387566138
SPAG9,0.720625315,0.938477055
CELSR3,0.68719187,0.776235034
AASS,0.631787127,0.702624955
PLEKHG6,0.519595449,0.498103666
SS18L2,0.713675214,0.931623932
MPND,0.668658699,0.54249668
MGST1,0.52991453,0.346153846
CRY1,0.716070415,0.934128336
PGLYRP1,0.424703892,0.199661591
NFIX,0.903909874,0.98674619
ST3GAL1,0.609970674,0.501466276
MMP25,0.52812315,0.427471877
IL32,0.010582011,0
PKD1,0.499225527,0.214374226
MAPK8IP2,0.65010101,0.627070707
MED24,0.779124579,0.813131313
RHOBTB2,0.819139194,0.889652015
HEATR5B,0.685971686,0.891087516
SEC62,0.794166667,0.913333333
RPS20,0.697222222,0.688888889
CSDE1,0.869420108,0.977889028
UBE3C,0.640221402,0.610393604
REV3L,0.653678271,0.699137656
TENM1,0.698133919,0.880961093
PAX7,0.813570487,0.801054018
MASP2,0.513828239,0.462396895
IYD,0.551724138,0.459770115
FAM76A,0.79978355,0.989177489
TRAF3IP3,0.47705314,0.704710145
POMT2,0.693297825,0.790501553
VTA1,0.69047619,0.822510823
MLXIPL,0.611567018,0.610394685
BAZ1B,0.690026954,0.903863432
RANBP9,0.729680365,0.865753425
ETV7,0.288499025,0.319688109
SPRTN,0.391836735,0.488435374
EEF1AKNMT,0.699047619,0.764285714
DYRK4,0.539987204,0.333973129
ZNF207,0.83973064,0.925252525
UQCRC1,0.667359667,0.65003465
STARD3NL,0.743262411,0.858156028
CD9,0.673944687,0.5356623
HHATL,0.706270627,0.598679868
NCAPD2,0.609605326,0.769139325
IFFO1,0.773310023,0.923659674
GIPR,0.583868665,0.620985011
PHF7,0.582897033,0.811518325
SEMA3G,0.621541081,0.436781609
NISCH,0.683277962,0.660465116
STAB1,0.574484636,0.484247375
FUZ,0.628480509,0.631662689
SLC6A13,0.730790492,0.553344389
IDS,0.516636419,0.520871143
PRSS3,0,0.076190476
ZNF200,0.477272727,0.613636364
CD4,0.254901961,0.184458969
LRRC23,0.569767442,0.613372093
BTK,0.718181818,0.915656566
HFE,0.419293219,0.419293219
SCMH1,0.698333333,0.936666667
FYN,0.828376704,0.932465923
HIVEP2,0.644871271,0.643781501
FMO1,0.53971232,0.652282677
ELOA,0.592824364,0.675844806
LYPLA2,0.841954023,0.91954023
CLCN6,0.765517241,0.743678161
MRC2,0.746396396,0.763513514
NME1-NME2,0.649253731,0.809701493
SLC6A7,0.80533752,0.871271586
TSPAN9,0.783333333,0.702777778
BTBD7,0.719623419,0.92115328
APBA3,0.548611111,0.320023148
MKS1,0.693452381,0.673214286
ABHD5,0.676190476,0.859047619
ANOS1,0.40186001,0.205090553
AKAP8L,0.710458527,0.780525502
MBTD1,0.827768945,0.965553789
UTP18,0.591262717,0.784560144
RNF216,0.677849928,0.791486291
TTC19,0.563429571,0.716535433
PTBP1,0.682795699,0.471923536
DPF1,0.860240964,0.902008032
SYT7,0.877729258,0.950994663
LARS2,0.610250737,0.645648968
PIK3C2A,0.690772575,0.896067971
PLAUR,0.378968254,0.251984127
ANLN,0.543407407,0.672888889
WIZ,0.664726631,0.624162257
RABGAP1,0.759813084,0.954517134
DCN,0.625925926,0.808333333
QPCTL,0.640557006,0.679721497
PPP5C,0.828,0.816
CEP68,0.352682498,0.367634125
MAP4K3,0.75009311,0.964990689
ZBTB32,0.454918033,0.657103825
TYROBP,0.555555556,0.400584795
TMEM159,0.446502058,0.257201646
GABRA3,0.676808654,0.862745098
BRCA1,0.29953505,0.470314735
ERCC1,0.644295302,0.552572707
CD22,0.325078616,0.071147799
SEMA3B,0.650222222,0.656444444
MBTPS2,0.669871795,0.871794872
PRICKLE3,0.585497835,0.494047619
LTF,0.407407407,0.216596343
EXTL3,0.735869565,0.673550725
NR1H4,0.678546471,0.77847659
ELOVL5,0.712222222,0.844444444
ALOX5,0.70962963,0.711604938
KDM5D,0.628571429,0.573809524
CALCOCO1,0.712427746,0.87283237
UBR7,0.61971831,0.802816901
MAP4K5,0.761511216,0.929948839
EHD3,0.781716418,0.830845771
PSMC4,0.786793954,0.858392999
MAN2B2,0.394059406,0.273927393
SLC7A14,0.763385147,0.740500864
CLDN11,0.794871795,0.620192308
SLC25A39,0.657407407,0.673148148
MVP,0.656972409,0.606636838
NUB1,0.591145833,0.598958333
PGM3,0.591160221,0.5475752
RWDD2A,0.64960182,0.846416382
CLK1,0.681099656,0.857731959
POLR3B,0.728395062,0.935626102
ANGEL1,0.704918033,0.811227024
RNF14,0.755789474,0.965614035
DNASE1L1,0.399339934,0.330033003
DDX11,0.582873943,0.428518927
HEBP1,0.654385965,0.680701754
GPRC5A,0.505586592,0.202048417
MAMLD1,0.295628962,0.295295295
CD6,0.419033383,0.390632785
TACC3,0.253079062,0.185141041
UFL1,0.65870021,0.890146751
POLA2,0.589315526,0.681691708
ZC3H3,0.424306287,0.380049175
CAPN1,0.758974359,0.766433566
ACP3,0.490094746,0.544358312
MDH1,0.730348259,0.938308458
SLC30A9,0.680726421,0.771528998
MTMR11,0.605633803,0.746948357
COX15,0.655312247,0.752635848
CCDC88C,0.608509939,0.575324462
YAF2,0.861878453,0.994475138
ZMYND11,0.795467109,0.71641791
WAS,0.596421471,0.677269715
DPEP1,0.51618123,0.203883495
BID,0.352040816,0.132653061
MATR3,0.85259434,0.943003145
NPC1L1,0.526131533,0.520630158
XYLT2,0.76712856,0.783294842
RGPD5,0.630237826,0.773310683
STMN4,0.804915515,0.861751152
NUDCD3,0.634438306,0.862799263
ISL1,0.831428571,0.959047619
CHDH,0.640896359,0.5232493
IL20RA,0.346570397,0.338748496
CLCA1,0.492167577,0.468852459
CLCA4,0.426449275,0.347463768
GLT8D1,0.680107527,0.879928315
ATP2C1,0.744202899,0.961956522
IGF1,0.772727273,0.863636364
SLC38A5,0.476391825,0.479915433
RALBP1,0.696138211,0.786077236
RUFY3,0.697799249,0.773483629
CNTN1,0.680732745,0.839385018
SLC11A1,0.641258318,0.698124622
WWTR1,0.722360765,0.93599335
AGPS,0.76226606,0.93323217
CXorf56,0.710014948,0.768310912
ATP1A2,0.792033954,0.844270323
TTC27,0.589652449,0.748420221
ZNF582,0.377734878,0.629343629
VSIG2,0.575203252,0.598577236
PHLDB1,0.705853895,0.875665215
MARCO,0.339731286,0.215611004
CYP24A1,0.565695793,0.466019417
PRDM11,0.737796374,0.80195258
SYT13,0.713505074,0.651053864
SNAI2,0.790582404,0.915737299
CD74,0.609427609,0.68013468
HGF,0.713305898,0.901234568
ZRANB1,0.732487071,0.944522802
NCDN,0.821004566,0.921917808
ADGRA2,0.690565098,0.634055265
ZFP64,0.694037146,0.638807429
MNAT1,0.721505376,0.944086022
SAMD4A,0.827538248,0.878535002
RUNX3,0.802884615,0.791666667
MRE11,0.60554772,0.813822285
PLEKHB1,0.755464481,0.856557377
SERPINB1,0.454385965,0.385087719
CYP3A43,0.500661376,0.430555556
SLC7A9,0.632513661,0.218579235
SPAST,0.740680713,0.915721232
NRXN3,0.799618321,0.851357082
OSBPL5,0.589772727,0.372727273
AQR,0.690444145,0.873710184
CPS1,0.700199867,0.806573396
C8B,0.482545045,0.439752252
FHL1,0.80359147,0.914702581
RTF2,0.630836048,0.693811075
GABRA1,0.727206419,0.86214442
NLRP2,0.102853559,0.011602383
SLC45A4,0.608982283,0.4829007
RNF10,0.750821018,0.905993432
ZNF839,0.20545977,0.164152299
ZDHHC6,0.726247987,0.887278583
GRAMD1B,0.776274244,0.876409562
RNH1,0.207792208,0.107503608
NDUFS1,0.70467033,0.930860806
RB1CC1,0.617972832,0.873563218
ERP44,0.727272727,0.981162981
ALAS1,0.671346854,0.852834113
BIRC3,0.490909091,0.566942149
AKAP11,0.454083421,0.524009814
GLRX2,0.462626263,0.581818182
SNAPC1,0.577235772,0.717253839
DERA,0.67816092,0.759665622
STRAP,0.731244065,0.905982906
ABCC2,0.542475205,0.54937473
DEF6,0.760548523,0.886075949
PLEKHO1,0.711382114,0.82195122
GCLM,0.758787879,0.95030303
UBR2,0.685269552,0.907365224
EHD2,0.802696078,0.668504902
DEPDC1,0.598932677,0.763136289
CCDC28A,0.679279279,0.90990991
RRAGD,0.763923525,0.945137157
HSF2,0.73308504,0.979515829
PHF20,0.731490622,0.840737085
HSD17B6,0.335429769,0.318658281
NR1H3,0.713541667,0.791666667
TYMP,0.39268461,0.5521049
NCAPH2,0.560506051,0.518151815
TOMM34,0.644086022,0.72688172
SEC63,0.752080596,0.960140166
KPNA6,0.805710739,0.948479205
VIM,0.729478944,0.939329051
FAS,0.225198413,0.183531746
RNASET2,0.399481193,0.092088197
CD44,0.46119336,0.427097353
KCNG1,0.758754864,0.837224384
AGPAT4,0.678100264,0.576077397
SLAMF7,0.19047619,0.125992063
BTN3A1,0.079766537,0.243190661
MIPEP,0.592903828,0.672268908
PRKCH,0.763157895,0.814327485
INSRR,0.702105804,0.767847971
IFNGR1,0.223809524,0.186394558
B4GALT7,0.762195122,0.727642276
SH2D2A,0.400854701,0.434188034
VRK2,0.485265226,0.603143418
TNFRSF1B,0.364357864,0.235930736
VEZT,0.632905983,0.855128205
POU2F2,0.872222222,0.944444444
BRD9,0.652731327,0.4303233
SNX1,0.747609943,0.894200127
TBPL1,0.864527629,0.973262032
ARNTL2,0.342229199,0.68707483
BCLAF1,0.841838581,0.980817952
SLC39A9,0.717532468,0.91017316
ANK1,0.706893496,0.55679603
IBSP,0.450733753,0.225366876
TFB1M,0.55715658,0.435158501
RABEP1,0.708381615,0.926612592
HMGB3,0.5986733,0.800995025
NUP160,0.656228253,0.862676873
BAK1,0.592767296,0.59591195
MUSK,0.69348659,0.777777778
IKZF2,0.893203883,0.992718447
GRN,0.475308642,0.521324355
FAM13B,0.784206696,0.963245997
ARHGAP31,0.524336794,0.627681661
CENPQ,0.387856258,0.237918216
SARS1,0.742394822,0.800647249
RANBP3,0.669014085,0.620305164
ARID4A,0.64281929,0.853736089
EIPR1,0.687285223,0.520618557
PNPLA6,0.705466081,0.658125915
IFT88,0.698989899,0.813737374
ALG1,0.574193548,0.385663082
ZCCHC8,0.588041431,0.645951036
ABCF2,0.781517094,0.939636752
CHPF2,0.740405347,0.887451488
LRRC7,0.795896785,0.805626058
FUT8,0.774305556,0.975115741
UBA6,0.664450776,0.811649256
GAB2,0.721811915,0.66568193
ATP6V0A1,0.761336516,0.928003182
PIAS1,0.798568507,0.924335378
SLC4A7,0.715226337,0.942112483
APBA2,0.659111111,0.626222222
MAP2K3,0.75,0.740421456
EFCAB1,0.575471698,0.647798742
TMSB10,0.881481481,0.992592593
ASTE1,0.485294118,0.713235294
RNF19A,0.726658721,0.967024235
PEX3,0.696078431,0.950980392
GABARAPL2,0.870056497,0.997175141
MYOC,0.499009901,0.431023102
SH3YL1,0.574344023,0.336248785
FAM136A,0.451219512,0.512195122
VCL,0.780323054,0.95154185
DEPDC1B,0.671698113,0.86918239
DAPK2,0.777178796,0.829290207
NSMAF,0.65577342,0.717138707
ADSS2,0.716994894,0.893508388
STAP1,0.576576577,0.647522523
TIMP2,0.785822021,0.847662142
RFC1,0.605981417,0.711091754
TBC1D23,0.75047619,0.947142857
CUL3,0.839618552,0.971824881
MYOM2,0.581173261,0.185538881
OTC,0.625352113,0.675117371
CYP46A1,0.790419162,0.872920825
ZZZ3,0.775073746,0.917035398
SLC18A1,0.566539924,0.470215463
USP2,0.731023102,0.834433443
CASR,0.725054062,0.801977139
TUBG2,0.797935103,0.867256637
RPL26L1,0.50456621,0.817351598
FLT4,0.664222874,0.573558162
NSUN2,0.556423611,0.593315972
FBXO42,0.719591458,0.904363974
MFAP3,0.602387511,0.882460973
MRI1,0.611711712,0.440540541
METTL1,0.682310469,0.867629362
HOXC8,0.725651578,0.766803841
AGA,0.506243996,0.494716619
PI4K2B,0.587828492,0.653526971
BOD1L1,0.376911315,0.354740061
MAT2B,0.68159204,0.894527363
TLL1,0.669625247,0.300460224
EDC4,0.715644318,0.833571089
TRIO,0.759522272,0.8197762
VCAN,0.334608969,0.341379649
CLEC16A,0.725806452,0.709361164
MSR1,0.401179941,0.290560472
CDH1,0.551528879,0.416761042
MTREX,0.697986577,0.946947907
DNAH5,0.625081081,0.595963964
ZFYVE16,0.46017316,0.626623377
RIPOR1,0.555191257,0.639071038
C6,0.46631016,0.570053476
RAI14,0.624193,0.805980292
SOX30,0.557029178,0.501768347
PNKP,0.58045977,0.376756066
BEST2,0.638562092,0.666666667
PHLPP2,0.673967774,0.739929507
SPDL1,0.525852585,0.753575358
STAU2,0.785172212,0.927028605
SLC66A1,0.652968037,0.521689498
CTNS,0.65942029,0.510869565
RTN4R,0.652601969,0.290436006
PHF23,0.742574257,0.948019802
CDH10,0.694550063,0.72834812
INPP4A,0.773210003,0.843782117
RAB27B,0.739726027,0.891933029
PSMA4,0.712468193,0.942748092
MYO16,0.499734184,0.483962431
LSG1,0.554375316,0.494183106
PARP3,0.507701787,0.405422058
TNC,0.638056312,0.599303663
THAP3,0.45,0.536111111
RIPOR3,0.565720294,0.363126533
TDP1,0.571428571,0.72304324
AIFM2,0.670231729,0.55258467
C2orf83,0.002207506,0.068432671
SPATA7,0.367777778,0.515
MED17,0.705521472,0.88803681
RETSAT,0.551554828,0.45553737
CAPG,0.743075454,0.748806113
AP2S1,0.815850816,0.755244755
USH2A,0.420590685,0.497789737
ZPBP,0.553977273,0.59280303
TG,0.450222704,0.306608884
ADAM28,0.426975945,0.236683849
BARX2,0.675,0.6
DCUN1D1,0.902564103,0.991025641
JADE2,0.735356089,0.663295407
ZIC2,0.781113196,0.825515947
LCP2,0.574282147,0.486891386
TRIT1,0.645299145,0.750712251
ADRB1,0.735704324,0.790097629
GUCA2B,0.386430678,0.147492625
CUL7,0.60859329,0.723759074
CTNNA1,0.769570011,0.880191106
PHKA2,0.644012945,0.625404531
CNTLN,0.564795072,0.758351102
EPHA3,0.712059621,0.822831978
HSPA5,0.750127226,0.941475827
DSG2,0.435507894,0.35865356
GEMIN8,0.342935528,0.320987654
OFD1,0.248436986,0.119776242
GPM6B,0.798378926,0.888551165
MAGEC2,0,0.018716578
PREX2,0.707322132,0.834059324
WDR37,0.715824916,0.547474747
YTHDC2,0.744467738,0.943163289
CTPS2,0.583759228,0.631459398
ATP6V1H,0.741046832,0.860192837
POLR2B,0.738439716,0.895886525
FAM214A,0.50355927,0.711853915
ARAP2,0.593743891,0.63597263
TPR,0.668640722,0.883389735
CP,0.542839275,0.612883052
KATNIP,0.492073296,0.362981264
DTNBP1,0.581439394,0.629734848
XK,0.559550562,0.600749064
ANO2,0.677,0.645666667
C12orf4,0.679927667,0.858348403
SCML1,0.138383838,0.02020202
WWC3,0.548032937,0.414150656
ARHGAP6,0.563076923,0.645128205
FAM184B,0.512723845,0.512723845
MAP4,0.382769587,0.497542642
GOPC,0.706983441,0.950323974
ROS1,0.512097922,0.58126957
USP28,0.682436611,0.851886209
HDAC9,0.766043614,0.929595016
TSPAN17,0.706060606,0.737373737
NOP16,0.70018622,0.746741155
CC2D2A,0.563849476,0.613407362
RRM2B,0.696969697,0.908143939
ZNF800,0.850125313,0.977944862
TNFRSF17,0.385585586,0.326126126
SNX29,0.672809173,0.685094185
LMO3,0.856164384,0.970319635
MRPS10,0.541254125,0.587458746
GUCA1A,0.757425743,0.843234323
RSF1,0.624595469,0.847434119
VPS13D,0.680944786,0.813093339
CELF2,0.862745098,0.936116382
FAM120A,0.8111409,0.924635091
R3HDM1,0.788181818,0.935151515
COL9A2,0.671014493,0.637681159
KITLG,0.700729927,0.922141119
ERCC8,0.68597817,0.936188077
H6PD,0.626262626,0.537457912
VAMP3,0.660066007,0.768976898
PER3,0.254021076,0.306433722
UTS2,0.226666667,0.301333333
TNFRSF9,0.3203125,0.225260417
EPN3,0.657714587,0.583464982
LTBP1,0.684475416,0.756484708
RCN1,0.740963855,0.871485944
ELN,0.512643678,0.268505747
RFC2,0.676056338,0.612206573
ARID1B,0.726085124,0.885096221
CLPTM1L,0.680890538,0.536796537
NEDD4L,0.759904372,0.851434426
FOXP3,0.610339506,0.701388889
PPP1R3F,0.587916667,0.657916667
HEXB,0.402154399,0.518252543
PTCD2,0.484147386,0.390745501
NEXMIF,0.535706438,0.760052736
JKAMP,0.702991453,0.897435897
DKK3,0.608736942,0.596391263
ARHGEF5,0.325198164,0.280559032
NFE2L3,0.363549161,0.380335731
MCUR1,0.480555556,0.525925926
LIMA1,0.544897065,0.701270258
LETMD1,0.622345337,0.867959372
SLC4A8,0.739792809,0.939975625
LAMC3,0.522208122,0.35427242
PTGER3,0.579952267,0.665871122
TNIP3,0.342535787,0.354805726
MAPK9,0.764705882,0.850196078
COL23A1,0.611829945,0.531115219
BCAR1,0.68159204,0.441255262
FAM160A2,0.772524837,0.941418294
HERPUD1,0.659013605,0.765306122
HOMER3,0.691528545,0.563535912
RAD51,0.660784314,0.96372549
POLQ,0.448990094,0.578541104
PIK3CB,0.733893557,0.951447246
CYBA,0.603741497,0.392857143
THOC3,0.740530303,0.795454545
HEBP2,0.569579288,0.773462783
MPHOSPH9,0.484797297,0.690033784
PLEKHA5,0.636009353,0.770849571
PRSS8,0.510658915,0.427325581
SIKE1,0.748397436,0.96474359
RRP12,0.686697483,0.644838213
FNIP2,0.516890882,0.638266069
MSMO1,0.607709751,0.629251701
TTC17,0.738762405,0.921774664
ALX4,0.748381877,0.830097087
FSTL4,0.60300514,0.273230526
FOXN3,0.779673063,0.880597015
METTL24,0.584922797,0.706630336
AKR7A2,0.621296296,0.444444444
MRTO4,0.661111111,0.515277778
NNAT,0.890243902,1
USE1,0.673076923,0.623076923
MCF2L2,0.44813154,0.479820628
NRIP2,0.468085106,0.41607565
LAMA3,0.49230154,0.484403119
AP5M1,0.640190088,0.829599457
ANAPC4,0.690976514,0.854552946
KCNQ1,0.647956672,0.57360906
TRAPPC3,0.808471455,0.955801105
THRAP3,0.760111576,0.948396095
PHPT1,0.67989418,0.693121693
ENTPD2,0.53561828,0.396505376
LY75,0.531630876,0.594505707
ARID4B,0.666920538,0.895404925
OPN3,0.47229115,0.816377171
SDCCAG8,0.535014006,0.563958917
PTPRN,0.686054422,0.717687075
HHAT,0.61268556,0.520917679
KIF1B,0.751238305,0.927352779
FOXC1,0.749699158,0.864620939
TBC1D22A,0.627413127,0.536036036
SYNE2,0.461059641,0.461879946
PLEKHH1,0.610744811,0.595360195
ATP9A,0.778625954,0.730597964
SPO11,0.56759026,0.848026868
CBLN4,0.744224422,0.933993399
CHRDL2,0.699224806,0.701550388
FAM168A,0.857344633,0.950564972
RELT,0.607115236,0.535189482
GALC,0.569970845,0.632167153
NOP58,0.710062893,0.921383648
SZRD1,0.901960784,0.941176471
KCNH2,0.778448276,0.777586207
CUL1,0.732303732,0.821964822
FAM114A2,0.532938076,0.736495389
CYFIP2,0.808346624,0.858585859
TAB2,0.526897214,0.944284342
GINM1,0.512588117,0.742195368
EIF2AK2,0.266908213,0.170289855
USP36,0.452550415,0.368623962
KMT2C,0.536848534,0.700325733
MCOLN3,0.654031288,0.785800241
CCDC85A,0.761131167,0.795427196
PUM2,0.827543036,0.975273865
MRPL43,0.627118644,0.675141243
ITIH4,0.43358396,0.32867884
ITIH1,0.591008772,0.580409357
HPF1,0.658021134,0.670509126
ZFR,0.801860465,0.96248062
ZNF280C,0.471996387,0.409214092
NPFFR2,0.366475462,0.120458891
PHF21B,0.642230576,0.685463659
TRAF1,0.661870504,0.637090328
RC3H2,0.816834452,0.973993289
IL17RB,0.453280318,0.400265076
TRAF3IP2,0.527090695,0.668433451
GYG2,0.217268224,0.040339703
DCBLD2,0.637457045,0.784364261
SERPINB3,0.273657289,0.152600171
SOAT1,0.581367211,0.828796128
PKP2,0.572792363,0.584725537
MSH4,0.613304874,0.816079687
F7,0.457677903,0.233707865
GDI2,0.709267564,0.851270553
PRDM1,0.692897498,0.751008878
ATG5,0.787439614,0.890096618
TMCC3,0.705020921,0.647140865
PITHD1,0.81918239,0.935534591
MTA3,0.746218487,0.951260504
USP13,0.75617284,0.722222222
ATP11B,0.739388795,0.895585739
LAMC2,0.571747627,0.591289782
CDK14,0.79787234,0.939007092
SEC61A1,0.758211041,0.37386443
PPP1R12A,0.767539606,0.949886841
RASGRF1,0.742448331,0.601218866
CAMK2B,0.777111444,0.831084458
CROCC,0.651965643,0.563924678
POLR3E,0.751763047,0.708509638
ATP2B4,0.685737977,0.643725815
