chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	quantile	prediction
chr1	1550795	1565990	MIB2	0	.	1550795	1565990	75,180,75	66.21%	0.038692855
chr1	1567474	1570639	MMP23B	0	.	1567474	1570639	50,205,50	76.71%	0.015618206
chr1	1570603	1590473	CDK11B	0	.	1570603	1590473	75,180,75	67.44%	0.035106536
chr1	1592939	1624167	SLC35E2B	0	.	1592939	1624167	50,205,50	72.61%	0.023130714
chr1	1634169	1655766	CDK11A	0	.	1634169	1655766	50,205,50	71.07%	0.02662445
chr1	1656277	1677431	SLC35E2	0	.	1656277	1677431	25,230,25	85.85%	0.004983271
chr1	1682671	1711896	NADK	0	.	1682671	1711896	75,180,75	69.48%	0.029857865
chr1	1716729	1822495	GNB1	0	.	1716729	1822495	175,80,175	22.4%	0.375125888
chr1	1846266	1848735	CALML6	0	.	1846266	1848735	25,230,25	86.2%	0.004724591
chr1	1849029	1850712	TMEM52	0	.	1849029	1850712	25,230,25	88.44%	0.00312833
chr1	1853396	1935276	CFAP74	0	.	1853396	1935276	0,255,0	91.8%	0.001720148
chr1	1950780	1962192	GABRD	0	.	1950780	1962192	100,155,100	59.29%	0.062141184
chr1	1981909	2116834	PRKCZ	0	.	1981909	2116834	175,80,175	24.21%	0.349066958
chr1	2115903	2144159	C1orf86	0	.	2115903	2144159	0,255,0	97.57%	0.000645435
chr1	2160134	2241558	SKI	0	.	2160134	2241558	150,105,150	34.04%	0.223175636
chr1	2252692	2323146	MORN1	0	.	2252692	2323146	25,230,25	85.9%	0.004910848
chr1	2323267	2336883	RER1	0	.	2323267	2336883	100,155,100	52.21%	0.094692829
chr1	2336236	2345236	PEX10	0	.	2336236	2345236	50,205,50	78.62%	0.01282074
chr1	2357419	2436969	PLCH2	0	.	2357419	2436969	50,205,50	70.35%	0.028143112
chr1	2439972	2458039	PANK4	0	.	2439972	2458039	100,155,100	51.36%	0.098966095
chr1	2460184	2461684	HES5	0	.	2460184	2461684	200,55,200	13.13%	0.566600478
chr1	2487078	2496821	TNFRSF14	0	.	2487078	2496821	0,255,0	93.81%	0.0013116
chr1	2517930	2522908	FAM213B	0	.	2517930	2522908	50,205,50	77.8%	0.014110628
chr1	2522078	2564481	MMEL1	0	.	2522078	2564481	50,205,50	73.51%	0.021365946
chr1	2567415	2718286	TTC34	0	.	2567415	2718286	25,230,25	85.7%	0.005081826
chr1	2938046	2939465	ACTRT2	0	.	2938046	2939465	50,205,50	74.99%	0.018444598
chr1	2985732	3355185	PRDM16	0	.	2985732	3355185	175,80,175	21.12%	0.394120801
chr1	3370990	3397677	ARHGEF16	0	.	3370990	3397677	50,205,50	71.01%	0.026734333
chr1	3406484	3528059	MEGF6	0	.	3406484	3528059	50,205,50	77.13%	0.015000744
chr1	3541566	3546691	TPRG1L	0	.	3541566	3546691	100,155,100	53.06%	0.090887551
chr1	3547331	3569325	WRAP73	0	.	3547331	3569325	75,180,75	66.8%	0.036942374
chr1	3569084	3652765	TP73	0	.	3569084	3652765	175,80,175	25.95%	0.323241881
chr1	3668962	3688209	CCDC27	0	.	3668962	3688209	0,255,0	96.44%	0.000839912
chr1	3689352	3692546	SMIM1	0	.	3689352	3692546	50,205,50	77.69%	0.014243859
chr1	3696784	3713068	LRRC47	0	.	3696784	3713068	50,205,50	71.94%	0.024654358
chr1	3728645	3773778	CEP104	0	.	3728645	3773778	50,205,50	75.85%	0.016991297
chr1	3773845	3801993	DFFB	0	.	3773845	3801993	50,205,50	76.09%	0.016683796
chr1	3805689	3816857	C1orf174	0	.	3805689	3816857	0,255,0	92.64%	0.001525391
chr1	4714792	4852594	AJAP1	0	.	4714792	4852594	100,155,100	55.25%	0.079694333
chr1	5922871	6052533	NPHP4	0	.	5922871	6052533	75,180,75	68.34%	0.032613093
chr1	6051526	6161253	KCNAB2	0	.	6051526	6161253	175,80,175	21.55%	0.387868324
chr1	6161853	6240183	CHD5	0	.	6161853	6240183	125,130,125	47.85%	0.117473003
chr1	6241329	6269449	RPL22	0	.	6241329	6269449	150,105,150	31.35%	0.252303216
chr1	6265535	6281359	RNF207	0	.	6265535	6281359	75,180,75	62.23%	0.051355535
chr1	6281253	6296032	ICMT	0	.	6281253	6296032	150,105,150	35.62%	0.209596052
chr1	6304252	6305638	HES3	0	.	6304252	6305638	50,205,50	78.15%	0.013568567
chr1	6307406	6321035	GPR153	0	.	6307406	6321035	100,155,100	57.44%	0.070196009
chr1	6324329	6454451	ACOT7	0	.	6324329	6454451	150,105,150	36.89%	0.198258082
chr1	6472478	6484730	HES2	0	.	6472478	6484730	50,205,50	77.46%	0.014567263
chr1	6484848	6521430	ESPN	0	.	6484848	6521430	125,130,125	46.09%	0.12858616
chr1	6521211	6526255	TNFRSF25	0	.	6521211	6526255	50,205,50	71.65%	0.025356682
chr1	6526152	6580121	PLEKHG5	0	.	6526152	6580121	100,155,100	53.41%	0.089142176
chr1	6581407	6614595	NOL9	0	.	6581407	6614595	25,230,25	84.4%	0.006191219
chr1	6615241	6639817	TAS1R1	0	.	6615241	6639817	50,205,50	76.37%	0.016147716
chr1	6640061	6649340	ZBTB48	0	.	6640061	6649340	125,130,125	48.25%	0.115299339
chr1	6650784	6674667	KLHL21	0	.	6650784	6674667	125,130,125	45.34%	0.133733389
chr1	6673745	6684093	PHF13	0	.	6673745	6684093	125,130,125	43.25%	0.148239936
chr1	6684926	6695646	THAP3	0	.	6684926	6695646	50,205,50	78.57%	0.012894332
chr1	6694228	6761984	DNAJC11	0	.	6694228	6761984	150,105,150	33.21%	0.231908033
chr1	6845384	7829766	CAMTA1	0	.	6845384	7829766	255,0,255	2.22%	0.951338773
chr1	7831329	7841492	VAMP3	0	.	7831329	7841492	150,105,150	32.37%	0.240778285
chr1	7844380	7905237	PER3	0	.	7844380	7905237	25,230,25	84.56%	0.006025566
chr1	7903143	7913572	UTS2	0	.	7903143	7913572	25,230,25	80.56%	0.010391228
chr1	7979907	8000926	TNFRSF9	0	.	7979907	8000926	0,255,0	93.3%	0.001406999
chr1	8014351	8045565	PARK7	0	.	8014351	8045565	200,55,200	10.87%	0.627514202
chr1	8064464	8086368	ERRFI1	0	.	8064464	8086368	50,205,50	74.64%	0.019045166
chr1	8377886	8404227	SLC45A1	0	.	8377886	8404227	100,155,100	57.66%	0.069281778
chr1	8412457	8877702	RERE	0	.	8412457	8877702	255,0,255	1.92%	0.962236687
chr1	8921061	8939308	ENO1	0	.	8921061	8939308	255,0,255	1.52%	0.978130274
chr1	9005926	9035151	CA6	0	.	9005926	9035151	0,255,0	93.66%	0.001337936
chr1	9063359	9086404	SLC2A7	0	.	9063359	9086404	25,230,25	82.87%	0.007683394
chr1	9095166	9148537	SLC2A5	0	.	9095166	9148537	50,205,50	75.26%	0.018048008
chr1	9160364	9189229	GPR157	0	.	9160364	9189229	75,180,75	67.42%	0.035257106
chr1	9294834	9331396	H6PD	0	.	9294834	9331396	125,130,125	46.01%	0.129103047
chr1	9352939	9429591	SPSB1	0	.	9352939	9429591	175,80,175	28.43%	0.288896456
chr1	9599541	9645237	SLC25A33	0	.	9599541	9645237	150,105,150	38.98%	0.180487132
chr1	9648932	9674935	TMEM201	0	.	9648932	9674935	100,155,100	58.8%	0.064322809
chr1	9711790	9789172	PIK3CD	0	.	9711790	9789172	255,0,255	1.53%	0.977549203
chr1	9712668	9714644	PIK3CD-AS1	0	.	9712668	9714644	0,255,0	98.96%	0.000398247
chr1	9789084	9884584	CLSTN1	0	.	9789084	9884584	100,155,100	54.69%	0.082499747
chr1	9908334	9970394	CTNNBIP1	0	.	9908334	9970394	175,80,175	22.5%	0.373556029
chr1	9982173	10003465	LZIC	0	.	9982173	10003465	175,80,175	20.35%	0.407564532
chr1	10003486	10045559	NMNAT1	0	.	10003486	10045559	75,180,75	62.8%	0.04956483
chr1	10057264	10076078	RBP7	0	.	10057264	10076078	75,180,75	66.12%	0.038942013
chr1	10092890	10241297	UBE4B	0	.	10092890	10241297	175,80,175	25.55%	0.329099002
chr1	10270863	10441661	KIF1B	0	.	10270863	10441661	255,0,255	8.35%	0.70541308
chr1	10458649	10480201	PGD	0	.	10458649	10480201	150,105,150	34.45%	0.219367563
chr1	10490159	10512210	APITD1-CORT	0	.	10490159	10512210	100,155,100	54.58%	0.083002199
chr1	10490159	10512210	APITD1	0	.	10490159	10512210	50,205,50	70.72%	0.027342014
chr1	10509776	10511959	CORT	0	.	10509776	10511959	75,180,75	67.02%	0.036256411
chr1	10516579	10532583	DFFA	0	.	10516579	10532583	75,180,75	63.88%	0.046121034
chr1	10532345	10690815	PEX14	0	.	10532345	10690815	200,55,200	19.48%	0.422466916
chr1	10696661	10856707	CASZ1	0	.	10696661	10856707	200,55,200	12.36%	0.585063144
chr1	11006528	11042094	C1orf127	0	.	11006528	11042094	0,255,0	96.14%	0.000880399
chr1	11072414	11085796	TARDBP	0	.	11072414	11085796	200,55,200	12.94%	0.570745782
chr1	11086580	11107290	MASP2	0	.	11086580	11107290	50,205,50	72.87%	0.022613369
chr1	11114641	11120081	SRM	0	.	11114641	11120081	125,130,125	42.31%	0.154905334
chr1	11126675	11159938	EXOSC10	0	.	11126675	11159938	125,130,125	49.57%	0.108028993
chr1	11166592	11322564	MTOR	0	.	11166592	11322564	255,0,255	0.59%	0.997612705
chr1	11249398	11256038	ANGPTL7	0	.	11249398	11256038	125,130,125	40.97%	0.164614125
chr1	11333263	11356106	UBIAD1	0	.	11333263	11356106	150,105,150	37.45%	0.193617657
chr1	11539223	11597641	PTCHD2	0	.	11539223	11597641	150,105,150	39.28%	0.17812362
chr1	11708424	11715842	FBXO2	0	.	11708424	11715842	75,180,75	63.55%	0.047108559
chr1	11714432	11723384	FBXO44	0	.	11714432	11723384	150,105,150	38.55%	0.183778452
chr1	11724181	11734411	FBXO6	0	.	11724181	11734411	50,205,50	75.95%	0.016874836
chr1	11734537	11751707	MAD2L2	0	.	11734537	11751707	255,0,255	5.39%	0.816624443
chr1	11751786	11785914	DRAXIN	0	.	11751786	11785914	50,205,50	70.15%	0.028589206
chr1	11796141	11814859	AGTRAP	0	.	11796141	11814859	50,205,50	79.47%	0.011672573
chr1	11821844	11849642	C1orf167	0	.	11821844	11849642	0,255,0	96.01%	0.000902211
chr1	11845780	11866977	MTHFR	0	.	11845780	11866977	255,0,255	7.44%	0.736730973
chr1	11866207	11903201	CLCN6	0	.	11866207	11903201	150,105,150	33.73%	0.226395258
chr1	11905766	11908402	NPPA	0	.	11905766	11908402	255,0,255	5.02%	0.833426319
chr1	11917521	11918988	NPPB	0	.	11917521	11918988	25,230,25	89.09%	0.002771341
chr1	11979648	11986485	KIAA2013	0	.	11979648	11986485	75,180,75	61.81%	0.052786762
chr1	11994262	12035595	PLOD1	0	.	11994262	12035595	175,80,175	29.26%	0.277959091
chr1	12040238	12073571	MFN2	0	.	12040238	12073571	200,55,200	12.08%	0.591887557
chr1	12079523	12092102	MIIP	0	.	12079523	12092102	25,230,25	88.63%	0.003000843
chr1	12123434	12204264	TNFRSF8	0	.	12123434	12204264	25,230,25	88.92%	0.002859238
chr1	12227060	12269285	TNFRSF1B	0	.	12227060	12269285	50,205,50	79%	0.012362515
chr1	12290124	12572099	VPS13D	0	.	12290124	12572099	175,80,175	22.87%	0.36779328
chr1	12627939	12677737	DHRS3	0	.	12627939	12677737	200,55,200	18.45%	0.444522373
chr1	12704566	12727097	AADACL4	0	.	12704566	12727097	0,255,0	96.7%	0.000791222
chr1	12776118	12788726	AADACL3	0	.	12776118	12788726	0,255,0	92.94%	0.001467435
chr1	12806163	12823847	C1orf158	0	.	12806163	12823847	25,230,25	82.65%	0.007963347
chr1	12834984	12838049	PRAMEF12	0	.	12834984	12838049	0,255,0	99.34%	0.000322758
chr1	12851546	12856777	PRAMEF1	0	.	12851546	12856777	0,255,0	98.53%	0.000484368
chr1	12907261	12908578	HNRNPCL1	0	.	12907261	12908578	0,255,0	90.59%	0.00215099
chr1	12916941	12921764	PRAMEF2	0	.	12916941	12921764	0,255,0	96.05%	0.000895134
chr1	12939045	12946025	PRAMEF4	0	.	12939045	12946025	0,255,0	98.8%	0.000426314
chr1	12952727	12958101	PRAMEF10	0	.	12952727	12958101	0,255,0	99.05%	0.0003837
chr1	12976450	12980569	PRAMEF7	0	.	12976450	12980569	0,255,0	98.25%	0.00053384
chr1	12998181	13117751	PRAMEF6	0	.	12998181	13117751	0,255,0	98.38%	0.000511467
chr1	13035543	13038381	PRAMEF22	0	.	13035543	13038381	0,255,0	96.13%	0.000880441
chr1	13052394	13052998	PRAMEF11	0	.	13052394	13052998	0,255,0	98.32%	0.000522969
chr1	13108842	13112679	PRAMEF5	0	.	13108842	13112679	0,255,0	96.59%	0.000810997
chr1	13216356	13219581	PRAMEF26	0	.	13216356	13219581	0,255,0	95.76%	0.000956346
chr1	13328196	13331692	PRAMEF3	0	.	13328196	13331692	0,255,0	96.97%	0.000755167
chr1	13386646	13390765	PRAMEF8	0	.	13386646	13390765	0,255,0	97.46%	0.000662964
chr1	13421176	13428191	PRAMEF9	0	.	13421176	13428191	0,255,0	96.55%	0.000814421
chr1	13447414	13452656	PRAMEF13	0	.	13447414	13452656	0,255,0	96.73%	0.000789739
chr1	13474052	13477569	PRAMEF18	0	.	13474052	13477569	0,255,0	98.58%	0.000472227
chr1	13495254	13498260	PRAMEF16	0	.	13495254	13498260	0,255,0	96.49%	0.00083188
chr1	13641973	13648988	PRAMEF15	0	.	13641973	13648988	0,255,0	96.84%	0.000774656
chr1	13668269	13673511	PRAMEF14	0	.	13668269	13673511	0,255,0	97.07%	0.000741819
chr1	13694889	13698405	PRAMEF19	0	.	13694889	13698405	0,255,0	95.67%	0.00096752
chr1	13716092	13719089	PRAMEF17	0	.	13716092	13719089	0,255,0	96.23%	0.000870127
chr1	13736907	13747803	PRAMEF20	0	.	13736907	13747803	0,255,0	98.29%	0.00052591
chr1	13801445	13840543	LRRC38	0	.	13801445	13840543	100,155,100	51.16%	0.10005936
chr1	13909960	13944452	PDPN	0	.	13909960	13944452	25,230,25	83.14%	0.00740087
chr1	14026693	14151574	PRDM2	0	.	14026693	14151574	125,130,125	40.49%	0.168607975
chr1	14925200	15444539	KAZN	0	.	14925200	15444539	200,55,200	15.65%	0.503937743
chr1	15479028	15546976	TMEM51	0	.	15479028	15546976	75,180,75	60.07%	0.059376314
chr1	15490840	15497813	C1orf195	0	.	15490840	15497813	0,255,0	97.11%	0.000734723
chr1	15573768	15726779	FHAD1	0	.	15573768	15726779	50,205,50	79.54%	0.011540707
chr1	15736391	15756839	EFHD2	0	.	15736391	15756839	75,180,75	64.09%	0.045405921
chr1	15764935	15775737	CTRC	0	.	15764935	15775737	50,205,50	77.52%	0.014441924
chr1	15783223	15798586	CELA2A	0	.	15783223	15798586	25,230,25	82.66%	0.007945806
chr1	15792404	15817895	CELA2B	0	.	15792404	15817895	25,230,25	86.3%	0.004614333
chr1	15817327	15853029	CASP9	0	.	15817327	15853029	175,80,175	22.03%	0.380237916
chr1	15853308	15918874	DNAJC16	0	.	15853308	15918874	125,130,125	43.23%	0.148396459
chr1	15898848	15911605	AGMAT	0	.	15898848	15911605	100,155,100	51.91%	0.096094359
chr1	15943995	15995539	DDI2	0	.	15943995	15995539	200,55,200	19.87%	0.414934435
chr1	15986364	15988217	RSC1A1	0	.	15986364	15988217	50,205,50	76.83%	0.015472115
chr1	16010827	16061264	PLEKHM2	0	.	16010827	16061264	125,130,125	41.27%	0.162189796
chr1	16062900	16067891	SLC25A34	0	.	16062900	16067891	75,180,75	65.51%	0.040818679
chr1	16068917	16074477	TMEM82	0	.	16068917	16074477	75,180,75	69.01%	0.03088429
chr1	16083102	16113089	FBLIM1	0	.	16083102	16113089	75,180,75	69.1%	0.030698843
chr1	16174359	16266955	SPEN	0	.	16174359	16266955	255,0,255	5.51%	0.812903737
chr1	16268364	16302627	ZBTB17	0	.	16268364	16302627	150,105,150	34.63%	0.217828999
chr1	16330731	16335302	C1orf64	0	.	16330731	16335302	0,255,0	91.62%	0.001764477
chr1	16340523	16346089	HSPB7	0	.	16340523	16346089	125,130,125	49.19%	0.110026847
chr1	16345370	16360545	CLCNKA	0	.	16345370	16360545	50,205,50	75.9%	0.016944195
chr1	16370272	16383803	CLCNKB	0	.	16370272	16383803	50,205,50	71.85%	0.024900854
chr1	16384264	16400127	FAM131C	0	.	16384264	16400127	75,180,75	64.46%	0.04418274
chr1	16450832	16482582	EPHA2	0	.	16450832	16482582	255,0,255	6.62%	0.768915771
chr1	16524349	16539104	ARHGEF19	0	.	16524349	16539104	75,180,75	66.83%	0.036884859
chr1	16555368	16556038	C1orf134	0	.	16555368	16556038	0,255,0	92.42%	0.00157929
chr1	16558195	16563657	RSG1	0	.	16558195	16563657	125,130,125	49.9%	0.106344274
chr1	16573334	16678949	FBXO42	0	.	16573334	16678949	150,105,150	31.72%	0.247960415
chr1	16679070	16724640	SZRD1	0	.	16679070	16724640	200,55,200	12.89%	0.571531722
chr1	16713612	16763919	SPATA21	0	.	16713612	16763919	25,230,25	83.42%	0.007064392
chr1	16767167	16786573	NECAP2	0	.	16767167	16786573	125,130,125	42.55%	0.15283279
chr1	16888814	16940057	NBPF1	0	.	16888814	16940057	0,255,0	96.65%	0.000800065
chr1	17066768	17299474	CROCC	0	.	17066768	17299474	100,155,100	54.7%	0.082326199
chr1	17300997	17307330	MFAP2	0	.	17300997	17307330	100,155,100	55.56%	0.078441405
chr1	17312453	17338423	ATP13A2	0	.	17312453	17338423	150,105,150	35.38%	0.211936486
chr1	17345217	17380665	SDHB	0	.	17345217	17380665	200,55,200	11.22%	0.616900215
chr1	17393256	17445948	PADI2	0	.	17393256	17445948	150,105,150	38.27%	0.185823973
chr1	17531621	17572500	PADI1	0	.	17531621	17572500	75,180,75	63.4%	0.047789074
chr1	17575593	17610728	PADI3	0	.	17575593	17610728	100,155,100	53.01%	0.091126134
chr1	17634690	17690499	PADI4	0	.	17634690	17690499	50,205,50	79.64%	0.011425361
chr1	17733256	17766220	RCC2	0	.	17733256	17766220	200,55,200	19.2%	0.428650747
chr1	17866330	18024369	ARHGEF10L	0	.	17866330	18024369	125,130,125	41.79%	0.158620294
chr1	18081808	18153558	ACTL8	0	.	18081808	18153558	0,255,0	91.23%	0.001905215
chr1	18434240	18704977	IGSF21	0	.	18434240	18704977	150,105,150	36.82%	0.199078163
chr1	18807424	18812478	KLHDC7A	0	.	18807424	18812478	25,230,25	82.53%	0.008109895
chr1	18957500	19075360	PAX7	0	.	18957500	19075360	200,55,200	11.21%	0.616917555
chr1	19166093	19186176	TAS1R2	0	.	19166093	19186176	50,205,50	76.52%	0.015921892
chr1	19197926	19229275	ALDH4A1	0	.	19197926	19229275	125,130,125	47.22%	0.121498662
chr1	19230775	19283180	IFFO2	0	.	19230775	19283180	125,130,125	41%	0.164176362
chr1	19401000	19536770	UBR4	0	.	19401000	19536770	175,80,175	22.73%	0.369648327
chr1	19542158	19578046	EMC1	0	.	19542158	19578046	150,105,150	33.43%	0.229110718
chr1	19578033	19586622	MRTO4	0	.	19578033	19586622	200,55,200	13.29%	0.561644653
chr1	19592476	19600688	AKR7L	0	.	19592476	19600688	50,205,50	75.16%	0.018209366
chr1	19609052	19615744	AKR7A3	0	.	19609052	19615744	50,205,50	78.1%	0.013654573
chr1	19630459	19638640	AKR7A2	0	.	19630459	19638640	75,180,75	66.13%	0.038930716
chr1	19638820	19655794	PQLC2	0	.	19638820	19655794	75,180,75	61.5%	0.053911775
chr1	19665267	19812066	CAPZB	0	.	19665267	19812066	200,55,200	12.64%	0.578799003
chr1	19923473	19984549	MINOS1-NBL1	0	.	19923473	19984549	125,130,125	47.88%	0.117398538
chr1	19923477	19956314	MINOS1	0	.	19923477	19956314	200,55,200	18.61%	0.441086608
chr1	19967048	19984945	NBL1	0	.	19967048	19984945	100,155,100	54.18%	0.085069704
chr1	19991780	20006055	HTR6	0	.	19991780	20006055	125,130,125	48.69%	0.112875664
chr1	20008706	20126438	TMCO4	0	.	20008706	20126438	75,180,75	62.01%	0.052206698
chr1	20140523	20141771	RNF186	0	.	20140523	20141771	25,230,25	82.17%	0.008486369
chr1	20209006	20239438	OTUD3	0	.	20209006	20239438	150,105,150	38.51%	0.183934634
chr1	20246502	20250110	PLA2G2E	0	.	20246502	20250110	75,180,75	63.03%	0.048783256
chr1	20301925	20306932	PLA2G2A	0	.	20301925	20306932	0,255,0	93.16%	0.001433812
chr1	20354672	20417683	PLA2G5	0	.	20354672	20417683	50,205,50	78.31%	0.013285246
chr1	20438432	20446050	PLA2G2D	0	.	20438432	20446050	25,230,25	83.97%	0.00657704
chr1	20465819	20476879	PLA2G2F	0	.	20465819	20476879	50,205,50	70.19%	0.028506206
chr1	20487746	20503917	PLA2G2C	0	.	20487746	20503917	50,205,50	74.49%	0.019385415
chr1	20512578	20522541	UBXN10	0	.	20512578	20522541	25,230,25	81.33%	0.009452289
chr1	20617412	20681387	VWA5B1	0	.	20617412	20681387	100,155,100	50.88%	0.101434599
chr1	20808884	20812713	CAMK2N1	0	.	20808884	20812713	125,130,125	41.54%	0.159989661
chr1	20825943	20834654	MUL1	0	.	20825943	20834654	200,55,200	18.47%	0.444185959
chr1	20878932	20881512	FAM43B	0	.	20878932	20881512	100,155,100	57.58%	0.069545706
chr1	20915441	20945401	CDA	0	.	20915441	20945401	125,130,125	45.33%	0.133809596
chr1	20959948	20978004	PINK1	0	.	20959948	20978004	125,130,125	41.91%	0.157698112
chr1	20978270	20988000	DDOST	0	.	20978270	20988000	175,80,175	29.71%	0.272183945
chr1	20990507	21044510	KIF17	0	.	20990507	21044510	100,155,100	56.67%	0.073398083
chr1	21046225	21059330	SH2D5	0	.	21046225	21059330	100,155,100	59.73%	0.060500826
chr1	21069154	21113816	HP1BP3	0	.	21069154	21113816	200,55,200	15.16%	0.51480486
chr1	21132963	21503377	EIF4G3	0	.	21132963	21503377	175,80,175	20.95%	0.397265955
chr1	21543740	21671997	ECE1	0	.	21543740	21671997	200,55,200	15.12%	0.516649738
chr1	21766621	21811498	NBPF3	0	.	21766621	21811498	0,255,0	98.29%	0.000527423
chr1	21835858	21904905	ALPL	0	.	21835858	21904905	255,0,255	0.11%	0.999977593
chr1	21922708	21995801	RAP1GAP	0	.	21922708	21995801	175,80,175	25.41%	0.331219929
chr1	22004791	22110099	USP48	0	.	22004791	22110099	175,80,175	24.56%	0.344028204
chr1	22138758	22151714	LDLRAD2	0	.	22138758	22151714	25,230,25	84.19%	0.006398537
chr1	22148738	22263790	HSPG2	0	.	22148738	22263790	125,130,125	49.81%	0.106943421
chr1	22303514	22325135	CELA3B	0	.	22303514	22325135	50,205,50	76.71%	0.015617411
chr1	22328149	22339032	CELA3A	0	.	22328149	22339032	25,230,25	82.16%	0.0084906
chr1	22379120	22419437	CDC42	0	.	22379120	22419437	255,0,255	0.49%	0.998507543
chr1	22443798	22470462	WNT4	0	.	22443798	22470462	175,80,175	28.25%	0.291681626
chr1	22778344	22857650	ZBTB40	0	.	22778344	22857650	125,130,125	48.54%	0.113666216
chr1	22890057	22930087	EPHA8	0	.	22890057	22930087	100,155,100	57.2%	0.071059296
chr1	22962999	22966101	C1QA	0	.	22962999	22966101	75,180,75	65.17%	0.041784249
chr1	22970123	22974603	C1QC	0	.	22970123	22974603	50,205,50	70.84%	0.027053134
chr1	22979255	22988031	C1QB	0	.	22979255	22988031	75,180,75	69.46%	0.029894938
chr1	23037332	23241818	EPHB2	0	.	23037332	23241818	255,0,255	2.31%	0.948206989
chr1	23279536	23291831	LACTBL1	0	.	23279536	23291831	125,130,125	46.08%	0.128592718
chr1	23337327	23342343	C1orf234	0	.	23337327	23342343	25,230,25	83.71%	0.006792651
chr1	23345941	23410182	KDM1A	0	.	23345941	23410182	255,0,255	5.57%	0.809871919
chr1	23410516	23504301	LUZP1	0	.	23410516	23504301	100,155,100	58.01%	0.067512141
chr1	23516993	23521222	HTR1D	0	.	23516993	23521222	125,130,125	44.69%	0.138089916
